ID,area,pop,dens_pop,lon,lat,r_cbd,d_av,Oi,Dj,dens_Oi,dens_Dj
1,0.431998531,9481,21946.8339,-43.193688,-22.900185,7715.651431,4.966675402,405,49,937.5031886,113.4263117
10,0.517467955,16530,31944.00707,-43.182127,-22.933803,7718.405037,9.809680181,691,625,1335.34839,1207.80426
100,3.157795629,7134,2259.170902,-43.206911,-22.972265,7723.371795,8.184431713,283,173,89.61947931,54.78505272
101,0.531222903,8591,16172.11899,-43.201807,-22.964102,7722.325153,9.102059041,458,933,862.1616226,1756.324877
102,0.32814732,3820,11641.11291,-43.211844,-22.9627,7722.666909,8.370655855,161,316,490.6332929,962.9821152
103,0.907073287,1972,2174.024998,-43.219684,-22.972062,7723.962224,6.779268031,140,410,154.3425455,452.0031689
104,0.782304099,7833,10012.73036,-43.211679,-22.959475,7722.341886,5.984797343,225,66,287.6119405,84.36616922
106,3.023543749,16417,5429.721335,-43.239404,-22.980752,7725.759367,9.833731158,720,1046,238.1311666,345.951667
107,1.958957216,12788,6527.962887,-43.240881,-22.995005,7727.231379,7.917925565,473,185,241.4549926,94.43799922
108,7.659999323,10980,1433.420492,-43.255863,-23.001825,7728.618204,11.54034955,537,739,70.10444483,96.47520434
109,0.493861192,368,745.1486485,-43.182746,-22.904816,7715.583783,9.18840881,282,3105,571.0106491,6287.191722
11,6.275244335,30112,4798.538255,-43.529824,-22.894245,7731.201698,10.52279762,1220,363,194.4147407,57.84635316
110,0.533308528,1364,2557.618953,-43.183366,-22.898573,7714.999447,14.74414998,351,1873,658.1556103,3512.038342
111,0.602748684,15,24.88599376,-43.174235,-22.897182,7714.426216,8.657408067,26,296,43.13572252,491.0836103
112,0.308985509,22,71.20075018,-43.175768,-22.90325,7715.096269,9.338193443,258,2624,834.9906157,8492.307658
113,1.49189765,79,52.95269418,-43.16597,-22.90981,7715.2733,9.547729431,184,1243,123.3328573,833.1670743
114,0.281794894,288,1022.019938,-43.174212,-22.909256,7715.612611,8.549049359,236,2762,837.4885601,9801.455097
115,0.26704382,3217,12046.71201,-43.177367,-22.913134,7716.144779,10.76415976,187,827,700.2596041,3096.870014
116,0.469408305,828,1763.922774,-43.18047,-22.909493,7715.934975,9.909594483,227,2339,483.5875238,4982.868803
117,0.283828,8265,29119.7486,-43.186789,-22.910626,7716.348413,12.04212172,353,631,1243.710981,2223.177419
118,0.513095938,3991,7778.272452,-43.191971,-22.907946,7716.332559,11.34584323,822,1931,1602.039578,3763.428741
119,0.354695668,529,1491.419401,-43.192989,-22.904055,7715.998584,10.38376729,34,65,95.85682349,183.255692
12,4.914601995,31911,6493.09955,-43.595334,-22.918276,7736.717657,13.52825675,1043,355,212.2247134,72.23372317
120,0.362490428,19621,54128.32589,-43.18822,-22.913474,7716.696895,10.06764326,992,1680,2736.623989,4634.605142
121,0.332947606,6112,18357.24267,-43.243035,-22.937683,7721.698566,6.629451297,257,38,771.893221,114.1320716
123,10.878168,6063,557.354878,-43.283905,-22.957762,7725.628338,9.095008772,268,323,24.63650129,29.69249969
124,0.487468686,444,910.8277371,-43.270296,-22.960177,7725.214313,8.996536157,35,60,71.79948378,123.0848293
125,1.524072469,2702,1772.881575,-43.276433,-22.974978,7726.962933,10.50229183,102,28,66.92595138,18.37182979
126,0.743341764,8110,10910.19016,-43.213286,-22.910923,7717.644487,7.782718784,701,1631,943.038632,2194.145519
127,0.471452516,10422,22106.14993,-43.218667,-22.916797,7718.479417,10.73505167,438,289,929.0437218,612.9991681
129,0.358730969,10186,28394.5376,-43.246902,-22.932782,7721.401759,8.475240123,373,153,1039.776411,426.503461
13,3.385541388,32694,9656.948846,-43.59194,-22.901796,7734.937434,11.29302449,1502,1273,443.6513478,376.0107629
131,0.613123942,12348,20139.48431,-43.226334,-22.920855,7719.245136,6.85514532,550,533,897.0453813,869.318524
132,0.404329423,10622,26270.65804,-43.232739,-22.9213,7719.595288,7.423776912,622,1243,1538.349586,3074.225941
133,0.269646726,9207,34144.67568,-43.216327,-22.922106,7718.889521,8.036706299,362,201,1342.497295,745.4197687
134,0.40635689,12305,30281.26335,-43.221038,-22.925637,7719.462011,8.656347153,553,580,1360.872705,1427.316761
137,0.764595317,21433,28031.82222,-43.231894,-22.928575,7720.27013,8.889819775,995,1260,1301.342001,1647.930574
138,0.376435618,8482,22532.40555,-43.237304,-22.933784,7721.041065,8.679794083,336,255,892.5829125,677.4066747
139,0.295220836,8221,27846.95046,-43.237975,-22.926592,7720.366079,19.1247831,13460,335,45592.98786,1134.743754
14,4.746167682,35753,7533.025041,-43.612125,-22.895404,7735.284625,12.15201166,1499,572,315.8337632,120.5182872
140,0.484777749,15497,31967.22628,-43.242188,-22.929154,7720.81953,7.873765611,672,701,1386.202236,1446.023464
141,0.617587545,13094,21201.85246,-43.222446,-22.913474,7718.333441,8.612127098,648,889,1049.243958,1439.472036
142,1.01886361,13349,13101.85177,-43.232405,-22.913244,7718.787269,8.14847277,710,992,696.8548025,973.6337522
143,0.99815715,29012,29065.56348,-43.254533,-22.913338,7719.855509,5.82883788,1180,479,1182.178578,479.8843551
144,0.326024096,6182,18961.78867,-43.242393,-22.916055,7719.541557,7.098129774,294,428,901.7738383,1312.786404
145,0.774411763,16536,21352.98144,-43.243591,-22.912068,7719.206929,6.26500639,717,620,925.8640358,800.6076739
146,0.368307993,9444,25641.58307,-43.256271,-22.918072,7720.404069,2.971312594,464,96,1259.815178,260.6514162
147,0.407909842,14486,35512.74937,-43.238811,-22.920844,7719.840969,6.54929643,662,525,1622.907641,1287.049111
148,0.339818743,6543,19254.38234,-43.243745,-22.918542,7719.850754,7.658329535,225,17,662.1176871,50.02666969
149,0.716801486,17159,23938.28744,-43.247883,-22.922646,7720.452242,7.27619795,761,529,1061.660746,738.0007027
150,1.520341813,20518,13495.64935,-43.256065,-22.932117,7721.774877,8.026173808,931,923,612.3622937,607.1003191
151,1.032808503,23591,22841.60126,-43.259257,-22.926074,7721.333613,7.454031017,1103,987,1067.961773,955.6466637
152,4.708414122,17329,3680.432424,-43.272317,-22.929943,7722.339149,7.38973981,845,951,179.4659472,201.9788352
153,2.614762486,22483,8598.486524,-43.243462,-22.880749,7716.12189,7.539207843,1277,1678,488.3808785,641.7408881
154,0.305613606,13887,45439.73087,-43.252486,-22.879943,7716.474761,6.437564512,538,72,1760.392829,235.5916053
155,0.89216819,17627,19757.48542,-43.254518,-22.852643,7713.888624,5.573056903,1090,1940,1221.74273,2174.477887
156,0.629634635,9317,14797.4706,-43.262308,-22.857886,7714.777187,5.372713104,581,845,922.7573704,1342.048155
158,0.762149644,5932,7783.248404,-43.257878,-22.869049,7715.662178,7.994546467,426,642,558.9453507,842.3542609
159,1.484764739,12409,8357.553002,-43.25189,-22.86417,7714.895774,6.386326002,1493,3046,1005.546509,2051.503461
161,0.447158376,3844,8596.506755,-43.252629,-22.844133,7712.961652,9.433333484,345,604,771.5387176,1350.751842
162,1.827727626,33552,18357.22102,-43.277275,-22.851326,7714.849724,6.91084512,1511,961,826.7096137,525.7895028
163,1.508388725,19217,12740.08462,-43.262152,-22.842256,7713.23348,7.827798144,989,1148,655.6665293,761.0770228
