ring,distance,r_cbd
0.0,9.39682363608468,1.1898010857561336
1.0,9.216119219148354,3.01227500370303
2.0,8.961885817261255,5.012202375578594
3.0,11.67784581476821,6.734109715126937
4.0,7.052750785909946,9.053942299380195
5.0,7.0718046537489805,10.889728691626132
6.0,7.770926708936222,12.981868253751058
7.0,6.720793987915708,15.12040451948088
8.0,7.384701667193629,17.06033924149716
9.0,7.965896774984099,18.87761813965963
10.0,8.29200046362911,20.947138169571247
11.0,9.157813619953805,23.08755598304225
12.0,8.752044392790507,24.921039763617678
13.0,8.765774270325823,26.916040523917886
14.0,9.191317939295363,28.804156561439765
15.0,11.200053220303975,30.87050600949548
16.0,10.49015803396439,32.6152720044744
17.0,12.84002264576458,35.04892965210587
18.0,11.861636776964655,36.836701931308156
19.0,10.982178947180241,39.00574191841549
20.0,11.52214455274006,40.6696561396119
21.0,12.432122830234151,42.68165207734741
22.0,15.136464193400958,45.01619751710723
23.0,14.788729751559702,47.24179881791378
24.0,14.948167169287869,48.36994829879179
