city,dates,Cases,I
Alicante,2020-02-16,10,10
Alicante,2020-02-17,11,1
Alicante,2020-02-18,12,1
Alicante,2020-02-19,13,1
Alicante,2020-02-20,13,0
Alicante,2020-02-21,14,1
Alicante,2020-02-22,15,1
Alicante,2020-02-23,17,2
Alicante,2020-02-24,23,6
Alicante,2020-02-25,24,1
Alicante,2020-02-26,27,3
Alicante,2020-02-27,31,4
Alicante,2020-02-28,37,6
Alicante,2020-02-29,45,8
Alicante,2020-03-01,59,14
Alicante,2020-03-02,75,16
Alicante,2020-03-03,85,10
Alicante,2020-03-04,100,15
Alicante,2020-03-05,120,20
Alicante,2020-03-06,145,25
Alicante,2020-03-07,163,18
Alicante,2020-03-08,204,41
Alicante,2020-03-09,262,58
Alicante,2020-03-10,368,106
Alicante,2020-03-11,478,110
Alicante,2020-03-12,604,126
Alicante,2020-03-13,758,154
Alicante,2020-03-14,931,173
Alicante,2020-03-15,1120,189
Alicante,2020-03-16,1335,215
Alicante,2020-03-17,1533,198
Alicante,2020-03-18,1710,177
Alicante,2020-03-19,1902,192
Alicante,2020-03-20,2122,220
Alicante,2020-03-21,2274,152
Alicante,2020-03-22,2425,151
Alicante,2020-03-23,2577,152
Alicante,2020-03-24,2693,116
Alicante,2020-03-25,2813,120
Alicante,2020-03-26,2923,110
Alicante,2020-03-27,3028,105
Alicante,2020-03-28,3120,92
Alicante,2020-03-29,3172,52
Alicante,2020-03-30,3238,66
Alicante,2020-03-31,3306,68
Alicante,2020-04-01,3373,67
Alicante,2020-04-02,3421,48
Alicante,2020-04-03,3478,57
Alicante,2020-04-04,3511,33
Alicante,2020-04-05,3538,27
Alicante,2020-04-06,3572,34
Alicante,2020-04-07,3595,23
Alicante,2020-04-08,3626,31
Alicante,2020-04-09,3660,34
Alicante,2020-04-10,3690,30
Alicante,2020-04-11,3706,16
Alicante,2020-04-12,3714,8
Alicante,2020-04-13,3730,16
Alicante,2020-04-14,3744,14
Alicante,2020-04-15,3763,19
Alicante,2020-04-16,3787,24
Alicante,2020-04-17,3799,12
Alicante,2020-04-18,3819,20
