city,dates,Cases,I
Barcelona,2020-01-21,10,10
Barcelona,2020-01-22,11,1
Barcelona,2020-01-23,11,0
Barcelona,2020-01-24,11,0
Barcelona,2020-01-25,11,0
Barcelona,2020-01-26,12,1
Barcelona,2020-01-27,15,3
Barcelona,2020-01-28,15,0
Barcelona,2020-01-29,15,0
Barcelona,2020-01-30,15,0
Barcelona,2020-01-31,16,1
Barcelona,2020-02-01,23,7
Barcelona,2020-02-02,23,0
Barcelona,2020-02-03,25,2
Barcelona,2020-02-04,29,4
Barcelona,2020-02-05,30,1
Barcelona,2020-02-06,30,0
Barcelona,2020-02-07,32,2
Barcelona,2020-02-08,32,0
Barcelona,2020-02-09,33,1
Barcelona,2020-02-10,36,3
Barcelona,2020-02-11,40,4
Barcelona,2020-02-12,46,6
Barcelona,2020-02-13,51,5
Barcelona,2020-02-14,52,1
Barcelona,2020-02-15,63,11
Barcelona,2020-02-16,67,4
Barcelona,2020-02-17,68,1
Barcelona,2020-02-18,73,5
Barcelona,2020-02-19,74,1
Barcelona,2020-02-20,86,12
Barcelona,2020-02-21,100,14
Barcelona,2020-02-22,108,8
Barcelona,2020-02-23,115,7
Barcelona,2020-02-24,123,8
Barcelona,2020-02-25,140,17
Barcelona,2020-02-26,165,25
Barcelona,2020-02-27,178,13
Barcelona,2020-02-28,207,29
Barcelona,2020-02-29,225,18
Barcelona,2020-03-01,302,77
Barcelona,2020-03-02,367,65
Barcelona,2020-03-03,438,71
Barcelona,2020-03-04,561,123
Barcelona,2020-03-05,715,154
Barcelona,2020-03-06,937,222
Barcelona,2020-03-07,1195,258
Barcelona,2020-03-08,1480,285
Barcelona,2020-03-09,1977,497
Barcelona,2020-03-10,2663,686
Barcelona,2020-03-11,3319,656
Barcelona,2020-03-12,4209,890
Barcelona,2020-03-13,5384,1175
Barcelona,2020-03-14,6510,1126
Barcelona,2020-03-15,7708,1198
Barcelona,2020-03-16,9129,1421
Barcelona,2020-03-17,10436,1307
Barcelona,2020-03-18,11846,1410
Barcelona,2020-03-19,13176,1330
Barcelona,2020-03-20,14782,1606
Barcelona,2020-03-21,15946,1164
Barcelona,2020-03-22,17008,1062
Barcelona,2020-03-23,18241,1233
Barcelona,2020-03-24,19373,1132
Barcelona,2020-03-25,20529,1156
Barcelona,2020-03-26,21674,1145
Barcelona,2020-03-27,22710,1036
Barcelona,2020-03-28,23792,1082
Barcelona,2020-03-29,24598,806
Barcelona,2020-03-30,25574,976
Barcelona,2020-03-31,26500,926
Barcelona,2020-04-01,27556,1056
Barcelona,2020-04-02,28417,861
Barcelona,2020-04-03,29388,971
Barcelona,2020-04-04,30186,798
Barcelona,2020-04-05,30882,696
Barcelona,2020-04-06,31530,648
Barcelona,2020-04-07,32125,595
Barcelona,2020-04-08,32944,819
Barcelona,2020-04-09,33785,841
Barcelona,2020-04-10,34630,845
Barcelona,2020-04-11,35559,929
Barcelona,2020-04-12,36082,523
Barcelona,2020-04-13,36562,480
Barcelona,2020-04-14,37170,608
Barcelona,2020-04-15,37766,596
Barcelona,2020-04-16,38329,563
Barcelona,2020-04-17,38782,453
Barcelona,2020-04-18,39117,335
Barcelona,2020-04-19,39343,226
Barcelona,2020-04-20,39647,304
Barcelona,2020-04-21,39811,164
Barcelona,2020-04-22,40074,263
Barcelona,2020-04-23,40296,222
Barcelona,2020-04-24,40508,212
Barcelona,2020-04-25,40647,139
Barcelona,2020-04-26,40774,127
Barcelona,2020-04-27,40880,106
Barcelona,2020-04-28,41023,143
Barcelona,2020-04-29,41146,123
Barcelona,2020-04-30,41313,167
Barcelona,2020-05-01,41444,131
Barcelona,2020-05-02,41567,123
Barcelona,2020-05-03,41687,120
Barcelona,2020-05-04,41792,105
Barcelona,2020-05-05,41845,53
Barcelona,2020-05-06,41886,41
Barcelona,2020-05-07,41941,55
Barcelona,2020-05-08,41999,58
Barcelona,2020-05-09,42041,42
Barcelona,2020-05-10,42105,64
Barcelona,2020-05-11,42214,109
Barcelona,2020-05-12,42312,98
Barcelona,2020-05-13,42440,128
Barcelona,2020-05-14,42555,115
Barcelona,2020-05-15,42726,171
Barcelona,2020-05-16,42809,83
Barcelona,2020-05-17,42879,70
Barcelona,2020-05-18,43029,150
Barcelona,2020-05-19,43206,177
Barcelona,2020-05-20,43351,145
Barcelona,2020-05-21,43528,177
Barcelona,2020-05-22,43783,255
Barcelona,2020-05-23,43874,91
Barcelona,2020-05-24,43978,104
Barcelona,2020-05-25,44147,169
Barcelona,2020-05-26,44323,176
Barcelona,2020-05-27,44447,124
Barcelona,2020-05-28,44616,169
Barcelona,2020-05-29,44760,144
Barcelona,2020-05-30,44828,68
Barcelona,2020-05-31,44860,32
Barcelona,2020-06-01,44908,48
Barcelona,2020-06-02,44978,70
Barcelona,2020-06-03,45061,83
Barcelona,2020-06-04,45152,91
Barcelona,2020-06-05,45270,118
Barcelona,2020-06-06,45316,46
Barcelona,2020-06-07,45353,37
Barcelona,2020-06-08,45437,84
Barcelona,2020-06-09,45515,78
Barcelona,2020-06-10,45615,100
Barcelona,2020-06-11,45702,87
Barcelona,2020-06-12,45791,89
Barcelona,2020-06-13,45814,23
Barcelona,2020-06-14,45839,25
Barcelona,2020-06-15,45894,55
Barcelona,2020-06-16,45955,61
Barcelona,2020-06-17,46019,64
Barcelona,2020-06-18,46085,66
Barcelona,2020-06-19,46147,62
