city,dates,Cases,I
Bilbao,2020-02-24,11,11
Bilbao,2020-02-25,13,2
Bilbao,2020-02-26,15,2
Bilbao,2020-02-27,20,5
Bilbao,2020-02-28,26,6
Bilbao,2020-02-29,33,7
Bilbao,2020-03-01,53,20
Bilbao,2020-03-02,65,12
Bilbao,2020-03-03,82,17
Bilbao,2020-03-04,100,18
Bilbao,2020-03-05,126,26
Bilbao,2020-03-06,148,22
Bilbao,2020-03-07,168,20
Bilbao,2020-03-08,210,42
Bilbao,2020-03-09,266,56
Bilbao,2020-03-10,363,97
Bilbao,2020-03-11,466,103
Bilbao,2020-03-12,584,118
Bilbao,2020-03-13,793,209
Bilbao,2020-03-14,986,193
Bilbao,2020-03-15,1201,215
Bilbao,2020-03-16,1531,330
Bilbao,2020-03-17,1829,298
Bilbao,2020-03-18,2109,280
Bilbao,2020-03-19,2382,273
Bilbao,2020-03-20,2691,309
Bilbao,2020-03-21,2938,247
Bilbao,2020-03-22,3159,221
Bilbao,2020-03-23,3418,259
Bilbao,2020-03-24,3633,215
Bilbao,2020-03-25,3859,226
Bilbao,2020-03-26,4051,192
Bilbao,2020-03-27,4313,262
Bilbao,2020-03-28,4487,174
Bilbao,2020-03-29,4625,138
Bilbao,2020-03-30,4804,179
Bilbao,2020-03-31,4967,163
Bilbao,2020-04-01,5126,159
Bilbao,2020-04-02,5275,149
Bilbao,2020-04-03,5472,197
Bilbao,2020-04-04,5611,139
Bilbao,2020-04-05,5768,157
Bilbao,2020-04-06,5951,183
Bilbao,2020-04-07,6118,167
Bilbao,2020-04-08,6285,167
Bilbao,2020-04-09,6410,125
Bilbao,2020-04-10,6528,118
Bilbao,2020-04-11,6617,89
Bilbao,2020-04-12,6718,101
Bilbao,2020-04-13,6799,81
Bilbao,2020-04-14,6869,70
Bilbao,2020-04-15,6946,77
Bilbao,2020-04-16,7026,80
Bilbao,2020-04-17,7131,105
Bilbao,2020-04-18,7218,87
Bilbao,2020-04-19,7254,36
Bilbao,2020-04-20,7311,57
Bilbao,2020-04-21,7375,64
Bilbao,2020-04-22,7412,37
Bilbao,2020-04-23,7465,53
Bilbao,2020-04-24,7543,78
Bilbao,2020-04-25,7577,34
Bilbao,2020-04-26,7607,30
Bilbao,2020-04-27,7633,26
Bilbao,2020-04-28,7664,31
Bilbao,2020-04-29,7689,25
Bilbao,2020-04-30,7710,21
Bilbao,2020-05-01,7735,25
Bilbao,2020-05-02,7764,29
Bilbao,2020-05-03,7784,20
Bilbao,2020-05-04,7796,12
Bilbao,2020-05-05,7811,15
Bilbao,2020-05-06,7824,13
Bilbao,2020-05-07,7835,11
Bilbao,2020-05-08,7853,18
Bilbao,2020-05-09,7864,11
Bilbao,2020-05-10,7871,7
Bilbao,2020-05-11,7890,19
Bilbao,2020-05-12,7902,12
Bilbao,2020-05-13,7919,17
Bilbao,2020-05-14,7929,10
Bilbao,2020-05-15,7940,11
Bilbao,2020-05-16,7946,6
Bilbao,2020-05-17,7951,5
Bilbao,2020-05-18,7963,12
Bilbao,2020-05-19,7966,3
Bilbao,2020-05-20,7970,4
Bilbao,2020-05-21,7976,6
Bilbao,2020-05-22,7978,2
Bilbao,2020-05-23,7985,7
Bilbao,2020-05-24,7988,3
Bilbao,2020-05-25,7994,6
Bilbao,2020-05-26,8000,6
Bilbao,2020-05-27,8001,1
Bilbao,2020-05-28,8004,3
Bilbao,2020-05-29,8005,1
Bilbao,2020-05-30,8007,2
Bilbao,2020-05-31,8009,2
Bilbao,2020-06-01,8017,8
Bilbao,2020-06-02,8027,10
Bilbao,2020-06-03,8031,4
Bilbao,2020-06-04,8034,3
Bilbao,2020-06-05,8041,7
Bilbao,2020-06-06,8046,5
Bilbao,2020-06-07,8055,9
Bilbao,2020-06-08,8063,8
Bilbao,2020-06-09,8071,8
Bilbao,2020-06-10,8081,10
Bilbao,2020-06-11,8091,10
Bilbao,2020-06-12,8099,8
Bilbao,2020-06-13,8108,9
Bilbao,2020-06-14,8115,7
Bilbao,2020-06-15,8122,7
Bilbao,2020-06-16,8128,6
Bilbao,2020-06-17,8135,7
Bilbao,2020-06-18,8144,9
Bilbao,2020-06-19,8153,9
Bilbao,2020-06-20,8153,0
Bilbao,2020-06-21,8156,3
Bilbao,2020-06-22,8159,3
Bilbao,2020-06-23,8163,4
Bilbao,2020-06-24,8167,4
Bilbao,2020-06-25,8169,2
Bilbao,2020-06-26,8175,6
Bilbao,2020-06-27,8179,4
Bilbao,2020-06-28,8183,4
Bilbao,2020-06-29,8186,3
Bilbao,2020-06-30,8191,5
Bilbao,2020-07-01,8195,4
Bilbao,2020-07-02,8200,5
Bilbao,2020-07-03,8205,5
Bilbao,2020-07-04,8208,3
Bilbao,2020-07-05,8213,5
Bilbao,2020-07-06,8219,6
Bilbao,2020-07-07,8224,5
Bilbao,2020-07-08,8243,19
Bilbao,2020-07-09,8255,12
Bilbao,2020-07-10,8265,10
Bilbao,2020-07-11,8279,14
Bilbao,2020-07-12,8305,26
Bilbao,2020-07-13,8330,25
Bilbao,2020-07-14,8364,34
Bilbao,2020-07-15,8413,49
Bilbao,2020-07-16,8452,39
Bilbao,2020-07-17,8504,52
Bilbao,2020-07-18,8584,80
Bilbao,2020-07-19,8635,51
Bilbao,2020-07-20,8710,75
Bilbao,2020-07-21,8773,63
Bilbao,2020-07-22,8872,99
Bilbao,2020-07-23,8942,70
Bilbao,2020-07-24,9008,66
Bilbao,2020-07-25,9108,100
Bilbao,2020-07-26,9240,132
Bilbao,2020-07-27,9388,148
Bilbao,2020-07-28,9545,157
Bilbao,2020-07-29,9681,136
Bilbao,2020-07-30,9782,101
Bilbao,2020-07-31,9895,113
Bilbao,2020-08-01,10057,162
Bilbao,2020-08-02,10269,212
Bilbao,2020-08-03,10590,321
Bilbao,2020-08-04,10858,268
Bilbao,2020-08-05,11112,254
Bilbao,2020-08-06,11333,221
Bilbao,2020-08-07,11525,192
Bilbao,2020-08-08,11730,205
Bilbao,2020-08-09,12119,389
Bilbao,2020-08-10,12415,296
Bilbao,2020-08-11,12755,340
Bilbao,2020-08-12,13107,352
Bilbao,2020-08-13,13314,207
Bilbao,2020-08-14,13482,168
Bilbao,2020-08-15,13800,318
Bilbao,2020-08-16,14185,385
Bilbao,2020-08-17,14610,425
Bilbao,2020-08-18,14964,354
Bilbao,2020-08-19,15347,383
Bilbao,2020-08-20,15605,258
Bilbao,2020-08-21,15835,230
Bilbao,2020-08-22,16118,283
Bilbao,2020-08-23,16481,363
Bilbao,2020-08-24,16895,414
Bilbao,2020-08-25,17394,499
Bilbao,2020-08-26,17766,372
Bilbao,2020-08-27,18035,269
Bilbao,2020-08-28,18252,217
Bilbao,2020-08-29,18511,259
Bilbao,2020-08-30,18854,343
Bilbao,2020-08-31,19185,331
Bilbao,2020-09-01,19602,417
Bilbao,2020-09-02,19929,327
Bilbao,2020-09-03,20213,284
Bilbao,2020-09-04,20440,227
Bilbao,2020-09-05,20726,286
Bilbao,2020-09-06,21063,337
Bilbao,2020-09-07,21386,323
Bilbao,2020-09-08,21742,356
Bilbao,2020-09-09,22013,271
Bilbao,2020-09-10,22182,169
Bilbao,2020-09-11,22355,173
Bilbao,2020-09-12,22576,221
Bilbao,2020-09-13,22811,235
Bilbao,2020-09-14,23070,259
Bilbao,2020-09-15,23345,275
Bilbao,2020-09-16,23588,243
Bilbao,2020-09-17,23768,180
Bilbao,2020-09-18,23936,168
Bilbao,2020-09-19,24094,158
Bilbao,2020-09-20,24311,217
Bilbao,2020-09-21,24477,166
Bilbao,2020-09-22,24677,200
Bilbao,2020-09-23,24965,288
Bilbao,2020-09-24,25152,187
Bilbao,2020-09-25,25297,145
Bilbao,2020-09-26,25482,185
Bilbao,2020-09-27,25616,134
Bilbao,2020-09-28,25811,195
Bilbao,2020-09-29,26013,202
Bilbao,2020-09-30,26184,171
Bilbao,2020-10-01,26302,118
Bilbao,2020-10-02,26476,174
Bilbao,2020-10-03,26652,176
Bilbao,2020-10-04,26846,194
Bilbao,2020-10-05,27050,204
Bilbao,2020-10-06,27311,261
Bilbao,2020-10-07,27563,252
Bilbao,2020-10-08,27704,141
Bilbao,2020-10-09,27967,263
Bilbao,2020-10-10,28154,187
Bilbao,2020-10-11,28430,276
Bilbao,2020-10-12,28759,329
Bilbao,2020-10-13,29110,351
Bilbao,2020-10-14,29417,307
Bilbao,2020-10-15,29749,332
Bilbao,2020-10-16,30042,293
Bilbao,2020-10-17,30369,327
Bilbao,2020-10-18,30754,385
Bilbao,2020-10-19,31295,541
Bilbao,2020-10-20,31767,472
Bilbao,2020-10-21,32233,466
Bilbao,2020-10-22,32720,487
Bilbao,2020-10-23,33154,434
Bilbao,2020-10-24,33610,456
Bilbao,2020-10-25,34123,513
Bilbao,2020-10-26,34714,591
Bilbao,2020-10-27,35322,608
Bilbao,2020-10-28,35766,444
Bilbao,2020-10-29,36271,505
Bilbao,2020-10-30,36751,480
Bilbao,2020-10-31,37274,523
Bilbao,2020-11-01,37855,581
Bilbao,2020-11-02,38494,639
Bilbao,2020-11-03,39097,603
Bilbao,2020-11-04,39718,621
Bilbao,2020-11-05,40321,603
Bilbao,2020-11-06,40869,548
Bilbao,2020-11-07,41406,537
Bilbao,2020-11-08,41940,534
Bilbao,2020-11-09,42101,161
Bilbao,2020-11-10,42220,119
Bilbao,2020-11-11,42350,130
Bilbao,2020-11-12,42350,0
Bilbao,2020-11-13,42350,0
Bilbao,2020-11-14,42350,0
