city,dates,Cases,I
Coruna,2020-02-28,12,12
Coruna,2020-02-29,12,0
Coruna,2020-03-01,14,2
Coruna,2020-03-02,21,7
Coruna,2020-03-03,30,9
Coruna,2020-03-04,36,6
Coruna,2020-03-05,43,7
Coruna,2020-03-06,59,16
Coruna,2020-03-07,74,15
Coruna,2020-03-08,90,16
Coruna,2020-03-09,125,35
Coruna,2020-03-10,178,53
Coruna,2020-03-11,230,52
Coruna,2020-03-12,307,77
Coruna,2020-03-13,405,98
Coruna,2020-03-14,500,95
Coruna,2020-03-15,613,113
Coruna,2020-03-16,774,161
Coruna,2020-03-17,920,146
Coruna,2020-03-18,1059,139
Coruna,2020-03-19,1174,115
Coruna,2020-03-20,1360,186
Coruna,2020-03-21,1465,105
Coruna,2020-03-22,1571,106
Coruna,2020-03-23,1702,131
Coruna,2020-03-24,1810,108
Coruna,2020-03-25,1936,126
Coruna,2020-03-26,2025,89
Coruna,2020-03-27,2156,131
Coruna,2020-03-28,2273,117
Coruna,2020-03-29,2367,94
Coruna,2020-03-30,2458,91
Coruna,2020-03-31,2502,44
Coruna,2020-04-01,2624,122
Coruna,2020-04-02,2717,93
Coruna,2020-04-03,2805,88
Coruna,2020-04-04,2856,51
Coruna,2020-04-05,2936,80
Coruna,2020-04-06,3045,109
Coruna,2020-04-07,3121,76
Coruna,2020-04-08,3179,58
Coruna,2020-04-09,3256,77
Coruna,2020-04-10,3298,42
Coruna,2020-04-11,3330,32
Coruna,2020-04-12,3358,28
Coruna,2020-04-13,3432,74
Coruna,2020-04-14,3466,34
Coruna,2020-04-15,3536,70
Coruna,2020-04-16,3577,41
Coruna,2020-04-17,3606,29
Coruna,2020-04-18,3637,31
Coruna,2020-04-19,3658,21
Coruna,2020-04-20,3691,33
Coruna,2020-04-21,3718,27
Coruna,2020-04-22,3753,35
Coruna,2020-04-23,3795,42
Coruna,2020-04-24,3821,26
Coruna,2020-04-25,3832,11
Coruna,2020-04-26,3843,11
Coruna,2020-04-27,3864,21
Coruna,2020-04-28,3880,16
Coruna,2020-04-29,3915,35
Coruna,2020-04-30,3933,18
Coruna,2020-05-01,3938,5
Coruna,2020-05-02,3954,16
Coruna,2020-05-03,3959,5
Coruna,2020-05-04,3966,7
Coruna,2020-05-05,3971,5
Coruna,2020-05-06,3979,8
Coruna,2020-05-07,3982,3
Coruna,2020-05-08,3988,6
Coruna,2020-05-09,3996,8
Coruna,2020-05-10,4002,6
Coruna,2020-05-11,4007,5
Coruna,2020-05-12,4014,7
Coruna,2020-05-13,4018,4
Coruna,2020-05-14,4020,2
Coruna,2020-05-15,4022,2
Coruna,2020-05-16,4026,4
Coruna,2020-05-17,4027,1
Coruna,2020-05-18,4033,6
Coruna,2020-05-19,4039,6
Coruna,2020-05-20,4044,5
Coruna,2020-05-21,4054,10
Coruna,2020-05-22,4056,2
Coruna,2020-05-23,4059,3
Coruna,2020-05-24,4064,5
Coruna,2020-05-25,4065,1
Coruna,2020-05-26,4066,1
Coruna,2020-05-27,4066,0
Coruna,2020-05-28,4067,1
Coruna,2020-05-29,4068,1
Coruna,2020-05-30,4068,0
Coruna,2020-05-31,4069,1
Coruna,2020-06-01,4070,1
Coruna,2020-06-02,4070,0
Coruna,2020-06-03,4070,0
Coruna,2020-06-04,4070,0
Coruna,2020-06-05,4072,2
Coruna,2020-06-06,4072,0
Coruna,2020-06-07,4072,0
Coruna,2020-06-08,4074,2
Coruna,2020-06-09,4077,3
Coruna,2020-06-10,4077,0
Coruna,2020-06-11,4077,0
Coruna,2020-06-12,4078,1
Coruna,2020-06-13,4078,0
Coruna,2020-06-14,4078,0
Coruna,2020-06-15,4079,1
Coruna,2020-06-16,4079,0
Coruna,2020-06-17,4081,2
Coruna,2020-06-18,4083,2
Coruna,2020-06-19,4083,0
Coruna,2020-06-20,4083,0
Coruna,2020-06-21,4086,3
Coruna,2020-06-22,4086,0
Coruna,2020-06-23,4087,1
Coruna,2020-06-24,4087,0
Coruna,2020-06-25,4088,1
Coruna,2020-06-26,4088,0
Coruna,2020-06-27,4090,2
Coruna,2020-06-28,4091,1
Coruna,2020-06-29,4092,1
Coruna,2020-06-30,4093,1
Coruna,2020-07-01,4096,3
Coruna,2020-07-02,4097,1
Coruna,2020-07-03,4097,0
Coruna,2020-07-04,4097,0
Coruna,2020-07-05,4098,1
Coruna,2020-07-06,4099,1
Coruna,2020-07-07,4099,0
Coruna,2020-07-08,4101,2
Coruna,2020-07-09,4103,2
Coruna,2020-07-10,4103,0
Coruna,2020-07-11,4105,2
Coruna,2020-07-12,4108,3
Coruna,2020-07-13,4110,2
Coruna,2020-07-14,4113,3
Coruna,2020-07-15,4120,7
Coruna,2020-07-16,4129,9
Coruna,2020-07-17,4133,4
Coruna,2020-07-18,4135,2
Coruna,2020-07-19,4140,5
Coruna,2020-07-20,4145,5
Coruna,2020-07-21,4150,5
Coruna,2020-07-22,4159,9
Coruna,2020-07-23,4168,9
Coruna,2020-07-24,4175,7
Coruna,2020-07-25,4180,5
Coruna,2020-07-26,4185,5
Coruna,2020-07-27,4200,15
Coruna,2020-07-28,4227,27
Coruna,2020-07-29,4246,19
Coruna,2020-07-30,4269,23
Coruna,2020-07-31,4287,18
Coruna,2020-08-01,4307,20
Coruna,2020-08-02,4335,28
Coruna,2020-08-03,4385,50
Coruna,2020-08-04,4461,76
Coruna,2020-08-05,4505,44
Coruna,2020-08-06,4564,59
Coruna,2020-08-07,4624,60
Coruna,2020-08-08,4709,85
Coruna,2020-08-09,4787,78
Coruna,2020-08-10,4916,129
Coruna,2020-08-11,5031,115
Coruna,2020-08-12,5140,109
Coruna,2020-08-13,5230,90
