city,dates,Cases,I
Granada,2020-03-01,10,10
Granada,2020-03-02,12,2
Granada,2020-03-03,16,4
Granada,2020-03-04,17,1
Granada,2020-03-05,21,4
Granada,2020-03-06,27,6
Granada,2020-03-07,38,11
Granada,2020-03-08,52,14
Granada,2020-03-09,82,30
Granada,2020-03-10,112,30
Granada,2020-03-11,151,39
Granada,2020-03-12,208,57
Granada,2020-03-13,284,76
Granada,2020-03-14,363,79
Granada,2020-03-15,451,88
Granada,2020-03-16,557,106
Granada,2020-03-17,665,108
Granada,2020-03-18,771,106
Granada,2020-03-19,866,95
Granada,2020-03-20,1013,147
Granada,2020-03-21,1114,101
Granada,2020-03-22,1224,110
Granada,2020-03-23,1302,78
Granada,2020-03-24,1403,101
Granada,2020-03-25,1492,89
Granada,2020-03-26,1576,84
Granada,2020-03-27,1685,109
Granada,2020-03-28,1734,49
Granada,2020-03-29,1816,82
Granada,2020-03-30,1872,56
Granada,2020-03-31,1912,40
Granada,2020-04-01,1976,64
Granada,2020-04-02,2021,45
Granada,2020-04-03,2045,24
Granada,2020-04-04,2075,30
Granada,2020-04-05,2100,25
Granada,2020-04-06,2125,25
Granada,2020-04-07,2165,40
Granada,2020-04-08,2199,34
Granada,2020-04-09,2216,17
Granada,2020-04-10,2247,31
Granada,2020-04-11,2275,28
Granada,2020-04-12,2293,18
Granada,2020-04-13,2315,22
Granada,2020-04-14,2338,23
Granada,2020-04-15,2368,30
Granada,2020-04-16,2382,14
Granada,2020-04-17,2396,14
Granada,2020-04-18,2406,10
Granada,2020-04-19,2414,8
Granada,2020-04-20,2423,9
Granada,2020-04-21,2431,8
Granada,2020-04-22,2435,4
Granada,2020-04-23,2443,8
Granada,2020-04-24,2462,19
Granada,2020-04-25,2469,7
Granada,2020-04-26,2472,3
Granada,2020-04-27,2474,2
Granada,2020-04-28,2479,5
Granada,2020-04-29,2481,2
Granada,2020-04-30,2487,6
Granada,2020-05-01,2488,1
Granada,2020-05-02,2490,2
Granada,2020-05-03,2494,4
Granada,2020-05-04,2495,1
Granada,2020-05-05,2497,2
Granada,2020-05-06,2497,0
Granada,2020-05-07,2498,1
Granada,2020-05-08,2500,2
Granada,2020-05-09,2501,1
Granada,2020-05-10,2501,0
Granada,2020-05-11,2505,4
Granada,2020-05-12,2509,4
Granada,2020-05-13,2513,4
Granada,2020-05-14,2514,1
Granada,2020-05-15,2519,5
Granada,2020-05-16,2520,1
Granada,2020-05-17,2520,0
Granada,2020-05-18,2521,1
Granada,2020-05-19,2524,3
Granada,2020-05-20,2525,1
Granada,2020-05-21,2529,4
Granada,2020-05-22,2529,0
Granada,2020-05-23,2530,1
Granada,2020-05-24,2531,1
Granada,2020-05-25,2531,0
Granada,2020-05-26,2531,0
Granada,2020-05-27,2533,2
Granada,2020-05-28,2534,1
Granada,2020-05-29,2534,0
Granada,2020-05-30,2536,2
Granada,2020-05-31,2537,1
Granada,2020-06-01,2539,2
Granada,2020-06-02,2539,0
Granada,2020-06-03,2542,3
Granada,2020-06-04,2542,0
Granada,2020-06-05,2544,2
Granada,2020-06-06,2544,0
Granada,2020-06-07,2545,1
Granada,2020-06-08,2545,0
Granada,2020-06-09,2546,1
Granada,2020-06-10,2546,0
Granada,2020-06-11,2547,1
Granada,2020-06-12,2547,0
Granada,2020-06-13,2548,1
Granada,2020-06-14,2549,1
Granada,2020-06-15,2551,2
Granada,2020-06-16,2556,5
Granada,2020-06-17,2562,6
Granada,2020-06-18,2568,6
Granada,2020-06-19,2575,7
Granada,2020-06-20,2585,10
Granada,2020-06-21,2588,3
Granada,2020-06-22,2593,5
Granada,2020-06-23,2596,3
Granada,2020-06-24,2608,12
Granada,2020-06-25,2619,11
Granada,2020-06-26,2629,10
Granada,2020-06-27,2637,8
Granada,2020-06-28,2649,12
Granada,2020-06-29,2660,11
Granada,2020-06-30,2675,15
Granada,2020-07-01,2687,12
Granada,2020-07-02,2692,5
Granada,2020-07-03,2703,11
Granada,2020-07-04,2714,11
Granada,2020-07-05,2722,8
Granada,2020-07-06,2736,14
Granada,2020-07-07,2749,13
Granada,2020-07-08,2774,25
Granada,2020-07-09,2793,19
Granada,2020-07-10,2807,14
Granada,2020-07-11,2821,14
Granada,2020-07-12,2826,5
Granada,2020-07-13,2837,11
Granada,2020-07-14,2850,13
Granada,2020-07-15,2863,13
Granada,2020-07-16,2887,24
Granada,2020-07-17,2914,27
Granada,2020-07-18,2922,8
Granada,2020-07-19,2932,10
Granada,2020-07-20,2943,11
Granada,2020-07-21,2951,8
Granada,2020-07-22,2966,15
Granada,2020-07-23,2978,12
Granada,2020-07-24,2986,8
Granada,2020-07-25,2988,2
Granada,2020-07-26,3004,16
Granada,2020-07-27,3012,8
Granada,2020-07-28,3020,8
Granada,2020-07-29,3027,7
Granada,2020-07-30,3045,18
Granada,2020-07-31,3064,19
Granada,2020-08-01,3080,16
Granada,2020-08-02,3089,9
Granada,2020-08-03,3101,12
Granada,2020-08-04,3118,17
Granada,2020-08-05,3146,28
Granada,2020-08-06,3171,25
Granada,2020-08-07,3197,26
Granada,2020-08-08,3215,18
Granada,2020-08-09,3244,29
Granada,2020-08-10,3272,28
Granada,2020-08-11,3307,35
Granada,2020-08-12,3363,56
Granada,2020-08-13,3409,46
Granada,2020-08-14,3463,54
Granada,2020-08-15,3504,41
Granada,2020-08-16,3540,36
Granada,2020-08-17,3602,62
Granada,2020-08-18,3671,69
Granada,2020-08-19,3732,61
Granada,2020-08-20,3809,77
Granada,2020-08-21,3888,79
Granada,2020-08-22,3954,66
Granada,2020-08-23,3994,40
Granada,2020-08-24,4043,49
Granada,2020-08-25,4122,79
Granada,2020-08-26,4232,110
Granada,2020-08-27,4298,66
Granada,2020-08-28,4381,83
Granada,2020-08-29,4464,83
Granada,2020-08-30,4551,87
Granada,2020-08-31,4622,71
Granada,2020-09-01,4746,124
Granada,2020-09-02,4848,102
Granada,2020-09-03,4944,96
Granada,2020-09-04,5051,107
Granada,2020-09-05,5127,76
Granada,2020-09-06,5189,62
Granada,2020-09-07,5282,93
Granada,2020-09-08,5410,128
Granada,2020-09-09,5494,84
Granada,2020-09-10,5602,108
Granada,2020-09-11,5724,122
Granada,2020-09-12,5785,61
Granada,2020-09-13,5854,69
Granada,2020-09-14,5924,70
Granada,2020-09-15,6002,78
Granada,2020-09-16,6110,108
Granada,2020-09-17,6215,105
Granada,2020-09-18,6338,123
Granada,2020-09-19,6455,117
Granada,2020-09-20,6529,74
Granada,2020-09-21,6655,126
Granada,2020-09-22,6836,181
Granada,2020-09-23,7030,194
Granada,2020-09-24,7196,166
Granada,2020-09-25,7385,189
Granada,2020-09-26,7570,185
Granada,2020-09-27,7664,94
Granada,2020-09-28,7825,161
Granada,2020-09-29,8063,238
Granada,2020-09-30,8384,321
Granada,2020-10-01,8593,209
Granada,2020-10-02,8899,306
Granada,2020-10-03,9157,258
Granada,2020-10-04,9299,142
Granada,2020-10-05,9581,282
Granada,2020-10-06,10092,511
