city,dates,Cases,I
Madrid,2020-01-10,11,11
Madrid,2020-01-11,12,1
Madrid,2020-01-12,13,1
Madrid,2020-01-13,15,2
Madrid,2020-01-14,15,0
Madrid,2020-01-15,16,1
Madrid,2020-01-16,17,1
Madrid,2020-01-17,19,2
Madrid,2020-01-18,21,2
Madrid,2020-01-19,22,1
Madrid,2020-01-20,25,3
Madrid,2020-01-21,26,1
Madrid,2020-01-22,27,1
Madrid,2020-01-23,31,4
Madrid,2020-01-24,32,1
Madrid,2020-01-25,33,1
Madrid,2020-01-26,35,2
Madrid,2020-01-27,37,2
Madrid,2020-01-28,38,1
Madrid,2020-01-29,40,2
Madrid,2020-01-30,43,3
Madrid,2020-01-31,47,4
Madrid,2020-02-01,57,10
Madrid,2020-02-02,65,8
Madrid,2020-02-03,75,10
Madrid,2020-02-04,77,2
Madrid,2020-02-05,81,4
Madrid,2020-02-06,86,5
Madrid,2020-02-07,95,9
Madrid,2020-02-08,103,8
Madrid,2020-02-09,105,2
Madrid,2020-02-10,117,12
Madrid,2020-02-11,126,9
Madrid,2020-02-12,138,12
Madrid,2020-02-13,154,16
Madrid,2020-02-14,165,11
Madrid,2020-02-15,178,13
Madrid,2020-02-16,193,15
Madrid,2020-02-17,212,19
Madrid,2020-02-18,226,14
Madrid,2020-02-19,238,12
Madrid,2020-02-20,266,28
Madrid,2020-02-21,295,29
Madrid,2020-02-22,325,30
Madrid,2020-02-23,371,46
Madrid,2020-02-24,428,57
Madrid,2020-02-25,481,53
Madrid,2020-02-26,554,73
Madrid,2020-02-27,652,98
Madrid,2020-02-28,815,163
Madrid,2020-02-29,926,111
Madrid,2020-03-01,1258,332
Madrid,2020-03-02,1647,389
Madrid,2020-03-03,2055,408
Madrid,2020-03-04,2528,473
Madrid,2020-03-05,3196,668
Madrid,2020-03-06,4004,808
Madrid,2020-03-07,4870,866
Madrid,2020-03-08,5957,1087
Madrid,2020-03-09,7494,1537
Madrid,2020-03-10,9552,2058
Madrid,2020-03-11,11543,1991
Madrid,2020-03-12,13932,2389
Madrid,2020-03-13,16832,2900
Madrid,2020-03-14,19452,2620
Madrid,2020-03-15,22188,2736
Madrid,2020-03-16,25197,3009
Madrid,2020-03-17,28152,2955
Madrid,2020-03-18,30905,2753
Madrid,2020-03-19,33465,2560
Madrid,2020-03-20,36682,3217
Madrid,2020-03-21,38700,2018
Madrid,2020-03-22,40399,1699
Madrid,2020-03-23,42599,2200
Madrid,2020-03-24,44682,2083
Madrid,2020-03-25,46518,1836
Madrid,2020-03-26,48136,1618
Madrid,2020-03-27,49685,1549
Madrid,2020-03-28,50963,1278
Madrid,2020-03-29,51866,903
Madrid,2020-03-30,53009,1143
Madrid,2020-03-31,54137,1128
Madrid,2020-04-01,55529,1392
Madrid,2020-04-02,56572,1043
Madrid,2020-04-03,57531,959
Madrid,2020-04-04,58281,750
Madrid,2020-04-05,58950,669
Madrid,2020-04-06,59597,647
Madrid,2020-04-07,60364,767
Madrid,2020-04-08,61073,709
Madrid,2020-04-09,61726,653
Madrid,2020-04-10,62456,730
Madrid,2020-04-11,63054,598
Madrid,2020-04-12,63567,513
Madrid,2020-04-13,63965,398
Madrid,2020-04-14,64480,515
Madrid,2020-04-15,64984,504
Madrid,2020-04-16,65584,600
Madrid,2020-04-17,65990,406
Madrid,2020-04-18,66473,483
Madrid,2020-04-19,66742,269
Madrid,2020-04-20,67037,295
Madrid,2020-04-21,67523,486
Madrid,2020-04-22,67994,471
Madrid,2020-04-23,68365,371
Madrid,2020-04-24,68626,261
Madrid,2020-04-25,68766,140
Madrid,2020-04-26,68895,129
Madrid,2020-04-27,69111,216
Madrid,2020-04-28,69379,268
Madrid,2020-04-29,69603,224
Madrid,2020-04-30,69799,196
Madrid,2020-05-01,70006,207
Madrid,2020-05-02,70189,183
Madrid,2020-05-03,70268,79
Madrid,2020-05-04,70383,115
Madrid,2020-05-05,70448,65
Madrid,2020-05-06,70505,57
Madrid,2020-05-07,70591,86
Madrid,2020-05-08,70664,73
Madrid,2020-05-09,70733,69
Madrid,2020-05-10,70810,77
Madrid,2020-05-11,71011,201
Madrid,2020-05-12,71152,141
Madrid,2020-05-13,71299,147
Madrid,2020-05-14,71463,164
Madrid,2020-05-15,71601,138
Madrid,2020-05-16,71658,57
Madrid,2020-05-17,71745,87
Madrid,2020-05-18,71884,139
Madrid,2020-05-19,72027,143
Madrid,2020-05-20,72140,113
Madrid,2020-05-21,72264,124
Madrid,2020-05-22,72356,92
Madrid,2020-05-23,72414,58
Madrid,2020-05-24,72464,50
Madrid,2020-05-25,72615,151
Madrid,2020-05-26,72780,165
Madrid,2020-05-27,72878,98
Madrid,2020-05-28,73006,128
Madrid,2020-05-29,73129,123
Madrid,2020-05-30,73188,59
Madrid,2020-05-31,73270,82
Madrid,2020-06-01,73429,159
Madrid,2020-06-02,73551,122
Madrid,2020-06-03,73699,148
Madrid,2020-06-04,73812,113
Madrid,2020-06-05,73955,143
Madrid,2020-06-06,74030,75
Madrid,2020-06-07,74095,65
Madrid,2020-06-08,74237,142
Madrid,2020-06-09,74348,111
Madrid,2020-06-10,74463,115
Madrid,2020-06-11,74566,103
Madrid,2020-06-12,74689,123
Madrid,2020-06-13,74715,26
Madrid,2020-06-14,74763,48
Madrid,2020-06-15,74889,126
Madrid,2020-06-16,74943,54
Madrid,2020-06-17,75024,81
Madrid,2020-06-18,75094,70
Madrid,2020-06-19,75153,59
Madrid,2020-06-20,75192,39
Madrid,2020-06-21,75221,29
Madrid,2020-06-22,75259,38
Madrid,2020-06-23,75304,45
Madrid,2020-06-24,75349,45
Madrid,2020-06-25,75406,57
Madrid,2020-06-26,75459,53
Madrid,2020-06-27,75480,21
Madrid,2020-06-28,75510,30
Madrid,2020-06-29,75563,53
Madrid,2020-06-30,75629,66
Madrid,2020-07-01,75691,62
Madrid,2020-07-02,75738,47
Madrid,2020-07-03,75817,79
Madrid,2020-07-04,75847,30
Madrid,2020-07-05,75883,36
Madrid,2020-07-06,75954,71
Madrid,2020-07-07,76020,66
Madrid,2020-07-08,76111,91
Madrid,2020-07-09,76202,91
Madrid,2020-07-10,76280,78
Madrid,2020-07-11,76339,59
Madrid,2020-07-12,76406,67
Madrid,2020-07-13,76524,118
Madrid,2020-07-14,76652,128
Madrid,2020-07-15,76790,138
Madrid,2020-07-16,76904,114
Madrid,2020-07-17,77068,164
Madrid,2020-07-18,77192,124
Madrid,2020-07-19,77324,132
Madrid,2020-07-20,77523,199
Madrid,2020-07-21,77760,237
Madrid,2020-07-22,77993,233
Madrid,2020-07-23,78217,224
Madrid,2020-07-24,78554,337
Madrid,2020-07-25,78843,289
Madrid,2020-07-26,79083,240
Madrid,2020-07-27,79581,498
Madrid,2020-07-28,80159,578
Madrid,2020-07-29,80684,525
Madrid,2020-07-30,81261,577
Madrid,2020-07-31,81978,717
Madrid,2020-08-01,82664,686
Madrid,2020-08-02,83250,586
Madrid,2020-08-03,84212,962
Madrid,2020-08-04,85316,1104
Madrid,2020-08-05,86404,1088
Madrid,2020-08-06,87503,1099
Madrid,2020-08-07,88871,1368
Madrid,2020-08-08,89888,1017
Madrid,2020-08-09,90848,960
Madrid,2020-08-10,92357,1509
Madrid,2020-08-11,94316,1959
Madrid,2020-08-12,96060,1744
Madrid,2020-08-13,97755,1695
Madrid,2020-08-14,99995,2240
Madrid,2020-08-15,101180,1185
Madrid,2020-08-16,102111,931
Madrid,2020-08-17,103642,1531
Madrid,2020-08-18,106341,2699
Madrid,2020-08-19,109295,2954
Madrid,2020-08-20,111985,2690
Madrid,2020-08-21,115909,3924
Madrid,2020-08-22,117421,1512
Madrid,2020-08-23,118508,1087
Madrid,2020-08-24,120308,1800
Madrid,2020-08-25,124028,3720
Madrid,2020-08-26,127147,3119
Madrid,2020-08-27,130318,3171
Madrid,2020-08-28,134722,4404
Madrid,2020-08-29,136455,1733
Madrid,2020-08-30,138017,1562
Madrid,2020-08-31,140148,2131
Madrid,2020-09-01,144403,4255
Madrid,2020-09-02,148225,3822
Madrid,2020-09-03,152033,3808
Madrid,2020-09-04,156614,4581
Madrid,2020-09-05,159232,2618
Madrid,2020-09-06,161508,2276
Madrid,2020-09-07,164529,3021
Madrid,2020-09-08,168975,4446
Madrid,2020-09-09,173793,4818
Madrid,2020-09-10,178101,4308
Madrid,2020-09-11,183249,5148
Madrid,2020-09-12,186260,3011
Madrid,2020-09-13,188613,2353
Madrid,2020-09-14,192078,3465
Madrid,2020-09-15,196847,4769
Madrid,2020-09-16,201309,4462
Madrid,2020-09-17,205786,4477
Madrid,2020-09-18,212521,6735
Madrid,2020-09-19,214879,2358
Madrid,2020-09-20,216787,1908
Madrid,2020-09-21,219885,3098
Madrid,2020-09-22,225183,5298
Madrid,2020-09-23,229910,4727
Madrid,2020-09-24,234212,4302
Madrid,2020-09-25,239115,4903
Madrid,2020-09-26,241128,2013
Madrid,2020-09-27,242794,1666
Madrid,2020-09-28,245589,2795
Madrid,2020-09-29,249379,3790
Madrid,2020-09-30,252360,2981
Madrid,2020-10-01,255114,2754
Madrid,2020-10-02,258163,3049
Madrid,2020-10-03,259944,1781
Madrid,2020-10-04,261404,1460
Madrid,2020-10-05,263929,2525
Madrid,2020-10-06,266555,2626
Madrid,2020-10-07,269022,2467
Madrid,2020-10-08,271371,2349
Madrid,2020-10-09,273843,2472
Madrid,2020-10-10,275511,1668
Madrid,2020-10-11,276898,1387
Madrid,2020-10-12,278551,1653
Madrid,2020-10-13,280898,2347
Madrid,2020-10-14,283112,2214
Madrid,2020-10-15,285273,2161
Madrid,2020-10-16,287666,2393
Madrid,2020-10-17,289199,1533
Madrid,2020-10-18,290483,1284
Madrid,2020-10-19,292770,2287
Madrid,2020-10-20,295121,2351
Madrid,2020-10-21,297120,1999
Madrid,2020-10-22,298959,1839
Madrid,2020-10-23,301302,2343
Madrid,2020-10-24,302486,1184
Madrid,2020-10-25,303568,1082
Madrid,2020-10-26,305710,2142
Madrid,2020-10-27,307940,2230
Madrid,2020-10-28,309912,1972
Madrid,2020-10-29,311858,1946
Madrid,2020-10-30,313863,2005
Madrid,2020-10-31,315013,1150
Madrid,2020-11-01,316017,1004
Madrid,2020-11-02,317084,1067
Madrid,2020-11-03,319093,2009
Madrid,2020-11-04,321007,1914
Madrid,2020-11-05,322631,1624
Madrid,2020-11-06,324335,1704
Madrid,2020-11-07,325068,733
Madrid,2020-11-08,325605,537
Madrid,2020-11-09,326376,771
Madrid,2020-11-10,327569,1193
Madrid,2020-11-11,328885,1316
Madrid,2020-11-12,328885,0
Madrid,2020-11-13,328885,0
Madrid,2020-11-14,328885,0
