city,dates,Cases,I
Malaga,2020-02-21,12,12
Malaga,2020-02-22,14,2
Malaga,2020-02-23,16,2
Malaga,2020-02-24,18,2
Malaga,2020-02-25,26,8
Malaga,2020-02-26,29,3
Malaga,2020-02-27,33,4
Malaga,2020-02-28,37,4
Malaga,2020-02-29,41,4
Malaga,2020-03-01,55,14
Malaga,2020-03-02,70,15
Malaga,2020-03-03,85,15
Malaga,2020-03-04,98,13
Malaga,2020-03-05,122,24
Malaga,2020-03-06,162,40
Malaga,2020-03-07,193,31
Malaga,2020-03-08,231,38
Malaga,2020-03-09,274,43
Malaga,2020-03-10,340,66
Malaga,2020-03-11,420,80
Malaga,2020-03-12,515,95
Malaga,2020-03-13,654,139
Malaga,2020-03-14,756,102
Malaga,2020-03-15,868,112
Malaga,2020-03-16,1019,151
Malaga,2020-03-17,1168,149
Malaga,2020-03-18,1298,130
Malaga,2020-03-19,1441,143
Malaga,2020-03-20,1634,193
Malaga,2020-03-21,1740,106
Malaga,2020-03-22,1830,90
Malaga,2020-03-23,1926,96
Malaga,2020-03-24,2022,96
Malaga,2020-03-25,2120,98
Malaga,2020-03-26,2198,78
Malaga,2020-03-27,2247,49
Malaga,2020-03-28,2297,50
Malaga,2020-03-29,2347,50
Malaga,2020-03-30,2382,35
Malaga,2020-03-31,2413,31
Malaga,2020-04-01,2464,51
Malaga,2020-04-02,2505,41
Malaga,2020-04-03,2542,37
Malaga,2020-04-04,2561,19
Malaga,2020-04-05,2586,25
Malaga,2020-04-06,2604,18
Malaga,2020-04-07,2629,25
Malaga,2020-04-08,2665,36
Malaga,2020-04-09,2690,25
Malaga,2020-04-10,2705,15
Malaga,2020-04-11,2718,13
Malaga,2020-04-12,2729,11
Malaga,2020-04-13,2735,6
Malaga,2020-04-14,2743,8
Malaga,2020-04-15,2753,10
Malaga,2020-04-16,2761,8
Malaga,2020-04-17,2774,13
Malaga,2020-04-18,2785,11
Malaga,2020-04-19,2791,6
Malaga,2020-04-20,2795,4
Malaga,2020-04-21,2800,5
Malaga,2020-04-22,2807,7
Malaga,2020-04-23,2815,8
Malaga,2020-04-24,2821,6
Malaga,2020-04-25,2825,4
Malaga,2020-04-26,2828,3
Malaga,2020-04-27,2830,2
Malaga,2020-04-28,2832,2
