city,dates,Cases,I
SantaCruz,2020-02-23,10,10
SantaCruz,2020-02-24,10,0
SantaCruz,2020-02-25,12,2
SantaCruz,2020-02-26,16,4
SantaCruz,2020-02-27,18,2
SantaCruz,2020-02-28,24,6
SantaCruz,2020-02-29,26,2
SantaCruz,2020-03-01,31,5
SantaCruz,2020-03-02,39,8
SantaCruz,2020-03-03,46,7
SantaCruz,2020-03-04,59,13
SantaCruz,2020-03-05,73,14
SantaCruz,2020-03-06,93,20
SantaCruz,2020-03-07,108,15
SantaCruz,2020-03-08,127,19
SantaCruz,2020-03-09,159,32
SantaCruz,2020-03-10,185,26
SantaCruz,2020-03-11,223,38
SantaCruz,2020-03-12,265,42
SantaCruz,2020-03-13,328,63
SantaCruz,2020-03-14,382,54
SantaCruz,2020-03-15,439,57
SantaCruz,2020-03-16,521,82
SantaCruz,2020-03-17,588,67
SantaCruz,2020-03-18,667,79
SantaCruz,2020-03-19,717,50
SantaCruz,2020-03-20,805,88
SantaCruz,2020-03-21,860,55
SantaCruz,2020-03-22,909,49
SantaCruz,2020-03-23,978,69
SantaCruz,2020-03-24,1017,39
SantaCruz,2020-03-25,1056,39
SantaCruz,2020-03-26,1097,41
SantaCruz,2020-03-27,1140,43
SantaCruz,2020-03-28,1166,26
SantaCruz,2020-03-29,1195,29
SantaCruz,2020-03-30,1236,41
SantaCruz,2020-03-31,1252,16
SantaCruz,2020-04-01,1303,51
SantaCruz,2020-04-02,1321,18
SantaCruz,2020-04-03,1331,10
SantaCruz,2020-04-04,1354,23
SantaCruz,2020-04-05,1366,12
SantaCruz,2020-04-06,1382,16
SantaCruz,2020-04-07,1395,13
SantaCruz,2020-04-08,1402,7
SantaCruz,2020-04-09,1418,16
SantaCruz,2020-04-10,1427,9
SantaCruz,2020-04-11,1436,9
SantaCruz,2020-04-12,1442,6
SantaCruz,2020-04-13,1449,7
SantaCruz,2020-04-14,1458,9
SantaCruz,2020-04-15,1468,10
SantaCruz,2020-04-16,1479,11
SantaCruz,2020-04-17,1487,8
SantaCruz,2020-04-18,1495,8
SantaCruz,2020-04-19,1505,10
SantaCruz,2020-04-20,1513,8
SantaCruz,2020-04-21,1520,7
SantaCruz,2020-04-22,1526,6
SantaCruz,2020-04-23,1526,0
SantaCruz,2020-04-24,1532,6
SantaCruz,2020-04-25,1534,2
SantaCruz,2020-04-26,1536,2
SantaCruz,2020-04-27,1539,3
SantaCruz,2020-04-28,1542,3
SantaCruz,2020-04-29,1544,2
SantaCruz,2020-04-30,1547,3
SantaCruz,2020-05-01,1554,7
SantaCruz,2020-05-02,1557,3
SantaCruz,2020-05-03,1557,0
SantaCruz,2020-05-04,1558,1
SantaCruz,2020-05-05,1560,2
SantaCruz,2020-05-06,1560,0
SantaCruz,2020-05-07,1560,0
SantaCruz,2020-05-08,1561,1
SantaCruz,2020-05-09,1563,2
SantaCruz,2020-05-10,1563,0
SantaCruz,2020-05-11,1565,2
SantaCruz,2020-05-12,1567,2
SantaCruz,2020-05-13,1570,3
SantaCruz,2020-05-14,1572,2
SantaCruz,2020-05-15,1573,1
SantaCruz,2020-05-16,1577,4
SantaCruz,2020-05-17,1578,1
SantaCruz,2020-05-18,1581,3
SantaCruz,2020-05-19,1587,6
SantaCruz,2020-05-20,1589,2
SantaCruz,2020-05-21,1593,4
SantaCruz,2020-05-22,1594,1
SantaCruz,2020-05-23,1595,1
SantaCruz,2020-05-24,1596,1
SantaCruz,2020-05-25,1597,1
SantaCruz,2020-05-26,1599,2
SantaCruz,2020-05-27,1600,1
SantaCruz,2020-05-28,1604,4
SantaCruz,2020-05-29,1610,6
SantaCruz,2020-05-30,1611,1
SantaCruz,2020-05-31,1612,1
SantaCruz,2020-06-01,1614,2
SantaCruz,2020-06-02,1617,3
SantaCruz,2020-06-03,1618,1
SantaCruz,2020-06-04,1618,0
SantaCruz,2020-06-05,1618,0
SantaCruz,2020-06-06,1622,4
SantaCruz,2020-06-07,1623,1
SantaCruz,2020-06-08,1624,1
SantaCruz,2020-06-09,1625,1
SantaCruz,2020-06-10,1625,0
SantaCruz,2020-06-11,1625,0
SantaCruz,2020-06-12,1626,1
SantaCruz,2020-06-13,1628,2
SantaCruz,2020-06-14,1628,0
SantaCruz,2020-06-15,1629,1
SantaCruz,2020-06-16,1629,0
SantaCruz,2020-06-17,1629,0
SantaCruz,2020-06-18,1629,0
SantaCruz,2020-06-19,1630,1
SantaCruz,2020-06-20,1630,0
SantaCruz,2020-06-21,1630,0
SantaCruz,2020-06-22,1630,0
SantaCruz,2020-06-23,1630,0
SantaCruz,2020-06-24,1630,0
SantaCruz,2020-06-25,1630,0
SantaCruz,2020-06-26,1630,0
SantaCruz,2020-06-27,1630,0
SantaCruz,2020-06-28,1630,0
SantaCruz,2020-06-29,1630,0
SantaCruz,2020-06-30,1630,0
SantaCruz,2020-07-01,1630,0
SantaCruz,2020-07-02,1630,0
SantaCruz,2020-07-03,1630,0
SantaCruz,2020-07-04,1632,2
SantaCruz,2020-07-05,1632,0
SantaCruz,2020-07-06,1633,1
SantaCruz,2020-07-07,1634,1
SantaCruz,2020-07-08,1634,0
SantaCruz,2020-07-09,1637,3
SantaCruz,2020-07-10,1638,1
SantaCruz,2020-07-11,1639,1
SantaCruz,2020-07-12,1641,2
SantaCruz,2020-07-13,1645,4
SantaCruz,2020-07-14,1646,1
SantaCruz,2020-07-15,1649,3
SantaCruz,2020-07-16,1650,1
SantaCruz,2020-07-17,1653,3
SantaCruz,2020-07-18,1658,5
SantaCruz,2020-07-19,1663,5
SantaCruz,2020-07-20,1664,1
SantaCruz,2020-07-21,1668,4
SantaCruz,2020-07-22,1674,6
SantaCruz,2020-07-23,1681,7
SantaCruz,2020-07-24,1684,3
SantaCruz,2020-07-25,1692,8
SantaCruz,2020-07-26,1697,5
SantaCruz,2020-07-27,1702,5
SantaCruz,2020-07-28,1706,4
SantaCruz,2020-07-29,1708,2
SantaCruz,2020-07-30,1709,1
SantaCruz,2020-07-31,1717,8
SantaCruz,2020-08-01,1728,11
SantaCruz,2020-08-02,1731,3
SantaCruz,2020-08-03,1738,7
SantaCruz,2020-08-04,1749,11
SantaCruz,2020-08-05,1766,17
SantaCruz,2020-08-06,1779,13
SantaCruz,2020-08-07,1787,8
SantaCruz,2020-08-08,1804,17
SantaCruz,2020-08-09,1812,8
SantaCruz,2020-08-10,1838,26
SantaCruz,2020-08-11,1866,28
SantaCruz,2020-08-12,1890,24
SantaCruz,2020-08-13,1907,17
SantaCruz,2020-08-14,1932,25
SantaCruz,2020-08-15,1957,25
SantaCruz,2020-08-16,1983,26
SantaCruz,2020-08-17,2010,27
SantaCruz,2020-08-18,2044,34
SantaCruz,2020-08-19,2073,29
SantaCruz,2020-08-20,2103,30
SantaCruz,2020-08-21,2145,42
SantaCruz,2020-08-22,2194,49
SantaCruz,2020-08-23,2231,37
SantaCruz,2020-08-24,2285,54
SantaCruz,2020-08-25,2330,45
SantaCruz,2020-08-26,2383,53
SantaCruz,2020-08-27,2431,48
SantaCruz,2020-08-28,2478,47
SantaCruz,2020-08-29,2526,48
SantaCruz,2020-08-30,2580,54
SantaCruz,2020-08-31,2616,36
SantaCruz,2020-09-01,2659,43
SantaCruz,2020-09-02,2712,53
SantaCruz,2020-09-03,2746,34
SantaCruz,2020-09-04,2801,55
SantaCruz,2020-09-05,2845,44
SantaCruz,2020-09-06,2887,42
SantaCruz,2020-09-07,2932,45
SantaCruz,2020-09-08,2968,36
SantaCruz,2020-09-09,3016,48
SantaCruz,2020-09-10,3059,43
SantaCruz,2020-09-11,3119,60
SantaCruz,2020-09-12,3176,57
SantaCruz,2020-09-13,3225,49
SantaCruz,2020-09-14,3288,63
SantaCruz,2020-09-15,3368,80
SantaCruz,2020-09-16,3427,59
SantaCruz,2020-09-17,3490,63
SantaCruz,2020-09-18,3563,73
SantaCruz,2020-09-19,3625,62
SantaCruz,2020-09-20,3683,58
SantaCruz,2020-09-21,3752,69
SantaCruz,2020-09-22,3835,83
SantaCruz,2020-09-23,3894,59
SantaCruz,2020-09-24,3956,62
SantaCruz,2020-09-25,4036,80
SantaCruz,2020-09-26,4100,64
SantaCruz,2020-09-27,4155,55
SantaCruz,2020-09-28,4225,70
SantaCruz,2020-09-29,4312,87
SantaCruz,2020-09-30,4401,89
SantaCruz,2020-10-01,4506,105
SantaCruz,2020-10-02,4584,78
SantaCruz,2020-10-03,4651,67
SantaCruz,2020-10-04,4708,57
SantaCruz,2020-10-05,4786,78
SantaCruz,2020-10-06,4866,80
SantaCruz,2020-10-07,4945,79
SantaCruz,2020-10-08,5016,71
SantaCruz,2020-10-09,5098,82
SantaCruz,2020-10-10,5160,62
SantaCruz,2020-10-11,5218,58
SantaCruz,2020-10-12,5282,64
SantaCruz,2020-10-13,5355,73
SantaCruz,2020-10-14,5423,68
SantaCruz,2020-10-15,5499,76
