city,dates,Cases,I
Sevilla,2020-02-27,13,13
Sevilla,2020-02-28,16,3
Sevilla,2020-02-29,17,1
Sevilla,2020-03-01,21,4
Sevilla,2020-03-02,27,6
Sevilla,2020-03-03,32,5
Sevilla,2020-03-04,36,4
Sevilla,2020-03-05,46,10
Sevilla,2020-03-06,51,5
Sevilla,2020-03-07,62,11
Sevilla,2020-03-08,70,8
Sevilla,2020-03-09,106,36
Sevilla,2020-03-10,146,40
Sevilla,2020-03-11,182,36
Sevilla,2020-03-12,233,51
Sevilla,2020-03-13,318,85
Sevilla,2020-03-14,389,71
Sevilla,2020-03-15,457,68
Sevilla,2020-03-16,552,95
Sevilla,2020-03-17,659,107
Sevilla,2020-03-18,747,88
Sevilla,2020-03-19,861,114
Sevilla,2020-03-20,1009,148
Sevilla,2020-03-21,1111,102
Sevilla,2020-03-22,1250,139
Sevilla,2020-03-23,1389,139
Sevilla,2020-03-24,1478,89
Sevilla,2020-03-25,1598,120
Sevilla,2020-03-26,1688,90
Sevilla,2020-03-27,1764,76
Sevilla,2020-03-28,1801,37
Sevilla,2020-03-29,1839,38
Sevilla,2020-03-30,1897,58
Sevilla,2020-03-31,1947,50
Sevilla,2020-04-01,2009,62
Sevilla,2020-04-02,2043,34
Sevilla,2020-04-03,2083,40
Sevilla,2020-04-04,2138,55
Sevilla,2020-04-05,2181,43
Sevilla,2020-04-06,2212,31
Sevilla,2020-04-07,2246,34
Sevilla,2020-04-08,2270,24
Sevilla,2020-04-09,2294,24
Sevilla,2020-04-10,2311,17
Sevilla,2020-04-11,2328,17
Sevilla,2020-04-12,2353,25
Sevilla,2020-04-13,2368,15
Sevilla,2020-04-14,2378,10
Sevilla,2020-04-15,2390,12
Sevilla,2020-04-16,2400,10
Sevilla,2020-04-17,2409,9
Sevilla,2020-04-18,2416,7
Sevilla,2020-04-19,2427,11
Sevilla,2020-04-20,2431,4
Sevilla,2020-04-21,2445,14
Sevilla,2020-04-22,2454,9
Sevilla,2020-04-23,2459,5
Sevilla,2020-04-24,2462,3
Sevilla,2020-04-25,2466,4
Sevilla,2020-04-26,2468,2
Sevilla,2020-04-27,2473,5
Sevilla,2020-04-28,2476,3
Sevilla,2020-04-29,2485,9
Sevilla,2020-04-30,2492,7
Sevilla,2020-05-01,2499,7
Sevilla,2020-05-02,2504,5
Sevilla,2020-05-03,2506,2
Sevilla,2020-05-04,2508,2
Sevilla,2020-05-05,2513,5
Sevilla,2020-05-06,2515,2
Sevilla,2020-05-07,2515,0
Sevilla,2020-05-08,2518,3
Sevilla,2020-05-09,2518,0
Sevilla,2020-05-10,2519,1
Sevilla,2020-05-11,2520,1
Sevilla,2020-05-12,2521,1
Sevilla,2020-05-13,2522,1
Sevilla,2020-05-14,2524,2
Sevilla,2020-05-15,2527,3
Sevilla,2020-05-16,2527,0
Sevilla,2020-05-17,2528,1
Sevilla,2020-05-18,2528,0
Sevilla,2020-05-19,2530,2
Sevilla,2020-05-20,2532,2
Sevilla,2020-05-21,2533,1
Sevilla,2020-05-22,2535,2
Sevilla,2020-05-23,2536,1
Sevilla,2020-05-24,2537,1
Sevilla,2020-05-25,2537,0
Sevilla,2020-05-26,2537,0
Sevilla,2020-05-27,2537,0
Sevilla,2020-05-28,2537,0
Sevilla,2020-05-29,2539,2
Sevilla,2020-05-30,2539,0
Sevilla,2020-05-31,2539,0
Sevilla,2020-06-01,2540,1
Sevilla,2020-06-02,2542,2
Sevilla,2020-06-03,2545,3
Sevilla,2020-06-04,2546,1
Sevilla,2020-06-05,2547,1
Sevilla,2020-06-06,2548,1
Sevilla,2020-06-07,2548,0
Sevilla,2020-06-08,2553,5
Sevilla,2020-06-09,2554,1
Sevilla,2020-06-10,2555,1
Sevilla,2020-06-11,2555,0
Sevilla,2020-06-12,2556,1
Sevilla,2020-06-13,2556,0
Sevilla,2020-06-14,2556,0
Sevilla,2020-06-15,2558,2
Sevilla,2020-06-16,2559,1
Sevilla,2020-06-17,2559,0
Sevilla,2020-06-18,2559,0
Sevilla,2020-06-19,2559,0
Sevilla,2020-06-20,2559,0
Sevilla,2020-06-21,2559,0
Sevilla,2020-06-22,2560,1
