city,dates,Cases,I
Valencia,2020-02-15,10,10
Valencia,2020-02-16,10,0
Valencia,2020-02-17,12,2
Valencia,2020-02-18,12,0
Valencia,2020-02-19,12,0
Valencia,2020-02-20,15,3
Valencia,2020-02-21,16,1
Valencia,2020-02-22,16,0
Valencia,2020-02-23,19,3
Valencia,2020-02-24,25,6
Valencia,2020-02-25,31,6
Valencia,2020-02-26,35,4
Valencia,2020-02-27,45,10
Valencia,2020-02-28,59,14
Valencia,2020-02-29,65,6
Valencia,2020-03-01,84,19
Valencia,2020-03-02,100,16
Valencia,2020-03-03,117,17
Valencia,2020-03-04,135,18
Valencia,2020-03-05,157,22
Valencia,2020-03-06,196,39
Valencia,2020-03-07,242,46
Valencia,2020-03-08,298,56
Valencia,2020-03-09,395,97
Valencia,2020-03-10,546,151
Valencia,2020-03-11,689,143
Valencia,2020-03-12,882,193
Valencia,2020-03-13,1128,246
Valencia,2020-03-14,1375,247
Valencia,2020-03-15,1614,239
Valencia,2020-03-16,1927,313
Valencia,2020-03-17,2193,266
Valencia,2020-03-18,2459,266
Valencia,2020-03-19,2677,218
Valencia,2020-03-20,2928,251
Valencia,2020-03-21,3140,212
Valencia,2020-03-22,3312,172
Valencia,2020-03-23,3547,235
Valencia,2020-03-24,3702,155
Valencia,2020-03-25,3898,196
Valencia,2020-03-26,4025,127
Valencia,2020-03-27,4194,169
Valencia,2020-03-28,4299,105
Valencia,2020-03-29,4402,103
Valencia,2020-03-30,4544,142
Valencia,2020-03-31,4619,75
Valencia,2020-04-01,4737,118
Valencia,2020-04-02,4835,98
Valencia,2020-04-03,4944,109
Valencia,2020-04-04,5018,74
Valencia,2020-04-05,5083,65
Valencia,2020-04-06,5176,93
Valencia,2020-04-07,5250,74
Valencia,2020-04-08,5319,69
Valencia,2020-04-09,5390,71
Valencia,2020-04-10,5444,54
Valencia,2020-04-11,5492,48
Valencia,2020-04-12,5540,48
Valencia,2020-04-13,5574,34
Valencia,2020-04-14,5610,36
Valencia,2020-04-15,5655,45
Valencia,2020-04-16,5685,30
Valencia,2020-04-17,5755,70
Valencia,2020-04-18,5785,30
Valencia,2020-04-19,5812,27
Valencia,2020-04-20,5834,22
Valencia,2020-04-21,5862,28
Valencia,2020-04-22,5883,21
Valencia,2020-04-23,5908,25
Valencia,2020-04-24,5932,24
Valencia,2020-04-25,5955,23
Valencia,2020-04-26,5963,8
Valencia,2020-04-27,5977,14
Valencia,2020-04-28,6000,23
Valencia,2020-04-29,6016,16
Valencia,2020-04-30,6030,14
Valencia,2020-05-01,6047,17
Valencia,2020-05-02,6065,18
Valencia,2020-05-03,6079,14
Valencia,2020-05-04,6085,6
Valencia,2020-05-05,6091,6
Valencia,2020-05-06,6100,9
Valencia,2020-05-07,6102,2
Valencia,2020-05-08,6106,4
Valencia,2020-05-09,6110,4
Valencia,2020-05-10,6111,1
Valencia,2020-05-11,6119,8
Valencia,2020-05-12,6129,10
Valencia,2020-05-13,6133,4
Valencia,2020-05-14,6140,7
Valencia,2020-05-15,6145,5
Valencia,2020-05-16,6148,3
Valencia,2020-05-17,6152,4
Valencia,2020-05-18,6157,5
Valencia,2020-05-19,6163,6
Valencia,2020-05-20,6166,3
Valencia,2020-05-21,6170,4
Valencia,2020-05-22,6178,8
Valencia,2020-05-23,6181,3
Valencia,2020-05-24,6189,8
Valencia,2020-05-25,6192,3
Valencia,2020-05-26,6195,3
Valencia,2020-05-27,6203,8
Valencia,2020-05-28,6207,4
Valencia,2020-05-29,6211,4
Valencia,2020-05-30,6216,5
Valencia,2020-05-31,6220,4
Valencia,2020-06-01,6231,11
Valencia,2020-06-02,6249,18
Valencia,2020-06-03,6257,8
Valencia,2020-06-04,6263,6
Valencia,2020-06-05,6269,6
Valencia,2020-06-06,6276,7
Valencia,2020-06-07,6282,6
Valencia,2020-06-08,6284,2
Valencia,2020-06-09,6288,4
Valencia,2020-06-10,6291,3
Valencia,2020-06-11,6300,9
Valencia,2020-06-12,6307,7
Valencia,2020-06-13,6310,3
Valencia,2020-06-14,6311,1
Valencia,2020-06-15,6319,8
Valencia,2020-06-16,6328,9
Valencia,2020-06-17,6332,4
Valencia,2020-06-18,6336,4
Valencia,2020-06-19,6346,10
Valencia,2020-06-20,6349,3
Valencia,2020-06-21,6355,6
Valencia,2020-06-22,6358,3
Valencia,2020-06-23,6366,8
Valencia,2020-06-24,6369,3
