city,dates,Cases,I
Zaragoza,2020-02-22,10,10
Zaragoza,2020-02-23,11,1
Zaragoza,2020-02-24,12,1
Zaragoza,2020-02-25,14,2
Zaragoza,2020-02-26,14,0
Zaragoza,2020-02-27,14,0
Zaragoza,2020-02-28,17,3
Zaragoza,2020-02-29,23,6
Zaragoza,2020-03-01,29,6
Zaragoza,2020-03-02,41,12
Zaragoza,2020-03-03,48,7
Zaragoza,2020-03-04,62,14
Zaragoza,2020-03-05,73,11
Zaragoza,2020-03-06,86,13
Zaragoza,2020-03-07,102,16
Zaragoza,2020-03-08,133,31
Zaragoza,2020-03-09,165,32
Zaragoza,2020-03-10,204,39
Zaragoza,2020-03-11,258,54
Zaragoza,2020-03-12,321,63
Zaragoza,2020-03-13,411,90
Zaragoza,2020-03-14,494,83
Zaragoza,2020-03-15,595,101
Zaragoza,2020-03-16,715,120
Zaragoza,2020-03-17,836,121
Zaragoza,2020-03-18,973,137
Zaragoza,2020-03-19,1096,123
Zaragoza,2020-03-20,1280,184
Zaragoza,2020-03-21,1428,148
Zaragoza,2020-03-22,1561,133
Zaragoza,2020-03-23,1780,219
Zaragoza,2020-03-24,1928,148
Zaragoza,2020-03-25,2071,143
Zaragoza,2020-03-26,2181,110
Zaragoza,2020-03-27,2344,163
Zaragoza,2020-03-28,2452,108
Zaragoza,2020-03-29,2531,79
Zaragoza,2020-03-30,2630,99
Zaragoza,2020-03-31,2714,84
Zaragoza,2020-04-01,2831,117
Zaragoza,2020-04-02,2932,101
Zaragoza,2020-04-03,3010,78
Zaragoza,2020-04-04,3080,70
Zaragoza,2020-04-05,3152,72
Zaragoza,2020-04-06,3235,83
Zaragoza,2020-04-07,3310,75
Zaragoza,2020-04-08,3395,85
Zaragoza,2020-04-09,3470,75
Zaragoza,2020-04-10,3532,62
Zaragoza,2020-04-11,3580,48
Zaragoza,2020-04-12,3621,41
Zaragoza,2020-04-13,3684,63
Zaragoza,2020-04-14,3727,43
Zaragoza,2020-04-15,3790,63
Zaragoza,2020-04-16,3842,52
Zaragoza,2020-04-17,3891,49
Zaragoza,2020-04-18,3945,54
Zaragoza,2020-04-19,3977,32
Zaragoza,2020-04-20,4003,26
Zaragoza,2020-04-21,4039,36
Zaragoza,2020-04-22,4091,52
Zaragoza,2020-04-23,4110,19
Zaragoza,2020-04-24,4126,16
Zaragoza,2020-04-25,4144,18
Zaragoza,2020-04-26,4158,14
Zaragoza,2020-04-27,4185,27
Zaragoza,2020-04-28,4214,29
Zaragoza,2020-04-29,4231,17
Zaragoza,2020-04-30,4260,29
Zaragoza,2020-05-01,4273,13
Zaragoza,2020-05-02,4288,15
Zaragoza,2020-05-03,4303,15
Zaragoza,2020-05-04,4324,21
Zaragoza,2020-05-05,4329,5
Zaragoza,2020-05-06,4334,5
Zaragoza,2020-05-07,4358,24
Zaragoza,2020-05-08,4367,9
Zaragoza,2020-05-09,4369,2
Zaragoza,2020-05-10,4374,5
Zaragoza,2020-05-11,4379,5
Zaragoza,2020-05-12,4387,8
Zaragoza,2020-05-13,4399,12
Zaragoza,2020-05-14,4402,3
Zaragoza,2020-05-15,4408,6
Zaragoza,2020-05-16,4411,3
Zaragoza,2020-05-17,4416,5
Zaragoza,2020-05-18,4425,9
Zaragoza,2020-05-19,4435,10
Zaragoza,2020-05-20,4445,10
Zaragoza,2020-05-21,4448,3
Zaragoza,2020-05-22,4454,6
Zaragoza,2020-05-23,4459,5
Zaragoza,2020-05-24,4463,4
Zaragoza,2020-05-25,4469,6
Zaragoza,2020-05-26,4474,5
Zaragoza,2020-05-27,4481,7
Zaragoza,2020-05-28,4483,2
Zaragoza,2020-05-29,4491,8
Zaragoza,2020-05-30,4494,3
Zaragoza,2020-05-31,4497,3
Zaragoza,2020-06-01,4501,4
Zaragoza,2020-06-02,4507,6
Zaragoza,2020-06-03,4512,5
Zaragoza,2020-06-04,4516,4
Zaragoza,2020-06-05,4519,3
Zaragoza,2020-06-06,4524,5
Zaragoza,2020-06-07,4526,2
Zaragoza,2020-06-08,4528,2
Zaragoza,2020-06-09,4532,4
Zaragoza,2020-06-10,4533,1
Zaragoza,2020-06-11,4536,3
Zaragoza,2020-06-12,4537,1
Zaragoza,2020-06-13,4539,2
Zaragoza,2020-06-14,4540,1
Zaragoza,2020-06-15,4540,0
Zaragoza,2020-06-16,4543,3
Zaragoza,2020-06-17,4545,2
Zaragoza,2020-06-18,4552,7
Zaragoza,2020-06-19,4557,5
Zaragoza,2020-06-20,4560,3
Zaragoza,2020-06-21,4570,10
Zaragoza,2020-06-22,4581,11
Zaragoza,2020-06-23,4589,8
Zaragoza,2020-06-24,4602,13
Zaragoza,2020-06-25,4621,19
Zaragoza,2020-06-26,4630,9
Zaragoza,2020-06-27,4657,27
Zaragoza,2020-06-28,4666,9
Zaragoza,2020-06-29,4680,14
Zaragoza,2020-06-30,4689,9
Zaragoza,2020-07-01,4702,13
Zaragoza,2020-07-02,4713,11
Zaragoza,2020-07-03,4737,24
Zaragoza,2020-07-04,4751,14
Zaragoza,2020-07-05,4774,23
Zaragoza,2020-07-06,4817,43
Zaragoza,2020-07-07,4866,49
Zaragoza,2020-07-08,4919,53
Zaragoza,2020-07-09,4987,68
Zaragoza,2020-07-10,5085,98
Zaragoza,2020-07-11,5188,103
Zaragoza,2020-07-12,5283,95
Zaragoza,2020-07-13,5468,185
Zaragoza,2020-07-14,5685,217
Zaragoza,2020-07-15,5953,268
Zaragoza,2020-07-16,6175,222
Zaragoza,2020-07-17,6475,300
Zaragoza,2020-07-18,6738,263
Zaragoza,2020-07-19,7012,274
Zaragoza,2020-07-20,7383,371
Zaragoza,2020-07-21,7740,357
Zaragoza,2020-07-22,8129,389
Zaragoza,2020-07-23,8446,317
Zaragoza,2020-07-24,8829,383
Zaragoza,2020-07-25,9154,325
Zaragoza,2020-07-26,9451,297
Zaragoza,2020-07-27,9948,497
Zaragoza,2020-07-28,10334,386
Zaragoza,2020-07-29,10740,406
Zaragoza,2020-07-30,11148,408
Zaragoza,2020-07-31,11551,403
Zaragoza,2020-08-01,12281,730
Zaragoza,2020-08-02,12669,388
Zaragoza,2020-08-03,13051,382
Zaragoza,2020-08-04,13419,368
Zaragoza,2020-08-05,13783,364
Zaragoza,2020-08-06,14217,434
Zaragoza,2020-08-07,14646,429
Zaragoza,2020-08-08,15074,428
Zaragoza,2020-08-09,15317,243
Zaragoza,2020-08-10,15812,495
Zaragoza,2020-08-11,16068,256
Zaragoza,2020-08-12,16423,355
Zaragoza,2020-08-13,16759,336
Zaragoza,2020-08-14,17115,356
Zaragoza,2020-08-15,17439,324
Zaragoza,2020-08-16,17687,248
Zaragoza,2020-08-17,18009,322
Zaragoza,2020-08-18,18341,332
Zaragoza,2020-08-19,18604,263
Zaragoza,2020-08-20,18870,266
Zaragoza,2020-08-21,19084,214
Zaragoza,2020-08-22,19331,247
Zaragoza,2020-08-23,19506,175
Zaragoza,2020-08-24,19691,185
Zaragoza,2020-08-25,19919,228
Zaragoza,2020-08-26,20131,212
Zaragoza,2020-08-27,20300,169
Zaragoza,2020-08-28,20528,228
Zaragoza,2020-08-29,20711,183
Zaragoza,2020-08-30,20869,158
Zaragoza,2020-08-31,21113,244
Zaragoza,2020-09-01,21356,243
Zaragoza,2020-09-02,21563,207
Zaragoza,2020-09-03,21809,246
Zaragoza,2020-09-04,22044,235
Zaragoza,2020-09-05,22317,273
Zaragoza,2020-09-06,22518,201
Zaragoza,2020-09-07,22756,238
Zaragoza,2020-09-08,23008,252
Zaragoza,2020-09-09,23303,295
Zaragoza,2020-09-10,23563,260
Zaragoza,2020-09-11,23884,321
Zaragoza,2020-09-12,24182,298
Zaragoza,2020-09-13,24474,292
Zaragoza,2020-09-14,24747,273
Zaragoza,2020-09-15,25011,264
Zaragoza,2020-09-16,25263,252
Zaragoza,2020-09-17,25565,302
Zaragoza,2020-09-18,25815,250
Zaragoza,2020-09-19,26075,260
Zaragoza,2020-09-20,26243,168
Zaragoza,2020-09-21,26509,266
Zaragoza,2020-09-22,26716,207
Zaragoza,2020-09-23,26923,207
Zaragoza,2020-09-24,27202,279
Zaragoza,2020-09-25,27449,247
Zaragoza,2020-09-26,27663,214
Zaragoza,2020-09-27,27900,237
Zaragoza,2020-09-28,28122,222
Zaragoza,2020-09-29,28364,242
Zaragoza,2020-09-30,28599,235
Zaragoza,2020-10-01,28882,283
Zaragoza,2020-10-02,29170,288
Zaragoza,2020-10-03,29392,222
Zaragoza,2020-10-04,29643,251
Zaragoza,2020-10-05,29936,293
Zaragoza,2020-10-06,30282,346
Zaragoza,2020-10-07,30642,360
Zaragoza,2020-10-08,30986,344
Zaragoza,2020-10-09,31333,347
