Province,Cases
2020-02-16,10
2020-02-17,11
2020-02-18,12
2020-02-19,13
2020-02-20,13
2020-02-21,14
2020-02-22,15
2020-02-23,17
2020-02-24,23
2020-02-25,24
2020-02-26,27
2020-02-27,31
2020-02-28,37
2020-02-29,45
2020-03-01,59
2020-03-02,75
2020-03-03,85
2020-03-04,100
2020-03-05,120
2020-03-06,145
2020-03-07,163
2020-03-08,204
2020-03-09,262
2020-03-10,368
2020-03-11,478
2020-03-12,604
2020-03-13,758
2020-03-14,931
2020-03-15,1120
2020-03-16,1335
2020-03-17,1533
2020-03-18,1710
2020-03-19,1902
2020-03-20,2122
2020-03-21,2274
2020-03-22,2425
2020-03-23,2577
2020-03-24,2693
2020-03-25,2813
2020-03-26,2923
2020-03-27,3028
2020-03-28,3120
2020-03-29,3172
2020-03-30,3238
2020-03-31,3306
2020-04-01,3373
2020-04-02,3421
2020-04-03,3478
2020-04-04,3511
2020-04-05,3538
2020-04-06,3572
2020-04-07,3595
2020-04-08,3626
2020-04-09,3660
2020-04-10,3690
2020-04-11,3706
2020-04-12,3714
2020-04-13,3730
2020-04-14,3744
2020-04-15,3763
2020-04-16,3787
2020-04-17,3799
2020-04-18,3819
2020-04-19,3825
2020-04-20,3836
2020-04-21,3855
2020-04-22,3873
2020-04-23,3894
2020-04-24,3913
2020-04-25,3928
2020-04-26,3932
2020-04-27,3938
2020-04-28,3960
2020-04-29,3978
2020-04-30,3988
2020-05-01,3994
2020-05-02,4005
2020-05-03,4009
2020-05-04,4012
2020-05-05,4017
2020-05-06,4019
2020-05-07,4022
2020-05-08,4026
2020-05-09,4028
2020-05-10,4031
2020-05-11,4038
2020-05-12,4046
2020-05-13,4050
2020-05-14,4060
2020-05-15,4062
2020-05-16,4067
2020-05-17,4069
2020-05-18,4072
2020-05-19,4076
2020-05-20,4082
2020-05-21,4085
2020-05-22,4093
2020-05-23,4094
2020-05-24,4094
2020-05-25,4095
2020-05-26,4102
2020-05-27,4105
2020-05-28,4106
2020-05-29,4109
2020-05-30,4109
2020-05-31,4109
2020-06-01,4113
2020-06-02,4114
2020-06-03,4115
2020-06-04,4116
2020-06-05,4117
2020-06-06,4118
2020-06-07,4119
2020-06-08,4121
2020-06-09,4123
2020-06-10,4124
2020-06-11,4125
2020-06-12,4128
2020-06-13,4128
2020-06-14,4128
2020-06-15,4130
2020-06-16,4131
2020-06-17,4133
2020-06-18,4135
2020-06-19,4136
2020-06-20,4136
2020-06-21,4139
2020-06-22,4140
2020-06-23,4141
2020-06-24,4142
2020-06-25,4144
2020-06-26,4145
2020-06-27,4145
2020-06-28,4147
2020-06-29,4150
2020-06-30,4154
2020-07-01,4159
2020-07-02,4164
2020-07-03,4165
2020-07-04,4165
2020-07-05,4168
2020-07-06,4173
2020-07-07,4177
2020-07-08,4186
2020-07-09,4193
2020-07-10,4197
2020-07-11,4204
2020-07-12,4210
2020-07-13,4225
2020-07-14,4237
2020-07-15,4259
2020-07-16,4275
2020-07-17,4312
2020-07-18,4338
2020-07-19,4362
2020-07-20,4395
2020-07-21,4441
2020-07-22,4484
2020-07-23,4518
2020-07-24,4560
2020-07-25,4612
2020-07-26,4668
2020-07-27,4736
2020-07-28,4788
2020-07-29,4873
2020-07-30,4931
2020-07-31,4997
2020-08-01,5071
2020-08-02,5134
2020-08-03,5205
2020-08-04,5282
2020-08-05,5377
2020-08-06,5453
2020-08-07,5538
2020-08-08,5621
2020-08-09,5679
2020-08-10,5797
2020-08-11,5922
2020-08-12,6036
2020-08-13,6156
2020-08-14,6290
2020-08-15,6407
2020-08-16,6541
2020-08-17,6714
2020-08-18,6873
2020-08-19,7048
2020-08-20,7212
2020-08-21,7416
2020-08-22,7586
2020-08-23,7739
2020-08-24,7942
2020-08-25,8138
2020-08-26,8326
2020-08-27,8480
2020-08-28,8663
2020-08-29,8837
2020-08-30,8963
2020-08-31,9157
2020-09-01,9350
2020-09-02,9563
2020-09-03,9766
2020-09-04,10000
2020-09-05,10175
2020-09-06,10338
2020-09-07,10567
2020-09-08,10807
2020-09-09,11038
2020-09-10,11268
2020-09-11,11505
2020-09-12,11672
2020-09-13,11825
2020-09-14,12075
2020-09-15,12254
2020-09-16,12446
2020-09-17,12641
2020-09-18,12803
2020-09-19,12959
2020-09-20,13085
2020-09-21,13270
2020-09-22,13447
2020-09-23,13615
2020-09-24,13779
2020-09-25,13966
2020-09-26,14090
2020-09-27,14177
2020-09-28,14345
2020-09-29,14496
2020-09-30,14640
2020-10-01,14811
2020-10-02,14979
2020-10-03,15122
2020-10-04,15254
2020-10-05,15501
2020-10-06,15743
2020-10-07,15957
2020-10-08,16229
2020-10-09,16462
2020-10-10,16690
2020-10-11,16843
2020-10-12,17119
2020-10-13,17386
2020-10-14,17723
2020-10-15,18049
2020-10-16,18395
2020-10-17,18707
2020-10-18,19029
2020-10-19,19509
2020-10-20,19992
2020-10-21,20433
2020-10-22,20873
2020-10-23,21275
2020-10-24,21605
2020-10-25,21885
2020-10-26,22292
2020-10-27,22696
2020-10-28,23107
2020-10-29,23461
2020-10-30,23913
2020-10-31,24261
2020-11-01,24561
2020-11-02,24984
2020-11-03,25308
2020-11-04,25647
2020-11-05,25970
2020-11-06,26282
2020-11-07,26472
2020-11-08,26592
2020-11-09,26686
2020-11-10,26811
2020-11-11,26827
2020-11-12,26827
2020-11-13,26827
2020-11-14,26827
2020-11-15,26827
