Province,Cases
2020-01-21,10
2020-01-22,11
2020-01-23,11
2020-01-24,11
2020-01-25,11
2020-01-26,12
2020-01-27,15
2020-01-28,15
2020-01-29,15
2020-01-30,15
2020-01-31,16
2020-02-01,23
2020-02-02,23
2020-02-03,25
2020-02-04,29
2020-02-05,30
2020-02-06,30
2020-02-07,32
2020-02-08,32
2020-02-09,33
2020-02-10,36
2020-02-11,40
2020-02-12,46
2020-02-13,51
2020-02-14,52
2020-02-15,63
2020-02-16,67
2020-02-17,68
2020-02-18,73
2020-02-19,74
2020-02-20,86
2020-02-21,100
2020-02-22,108
2020-02-23,115
2020-02-24,123
2020-02-25,140
2020-02-26,165
2020-02-27,178
2020-02-28,207
2020-02-29,225
2020-03-01,302
2020-03-02,367
2020-03-03,438
2020-03-04,561
2020-03-05,715
2020-03-06,937
2020-03-07,1195
2020-03-08,1480
2020-03-09,1977
2020-03-10,2663
2020-03-11,3319
2020-03-12,4209
2020-03-13,5384
2020-03-14,6510
2020-03-15,7708
2020-03-16,9129
2020-03-17,10436
2020-03-18,11846
2020-03-19,13176
2020-03-20,14782
2020-03-21,15946
2020-03-22,17008
2020-03-23,18241
2020-03-24,19373
2020-03-25,20529
2020-03-26,21674
2020-03-27,22710
2020-03-28,23792
2020-03-29,24598
2020-03-30,25574
2020-03-31,26500
2020-04-01,27556
2020-04-02,28417
2020-04-03,29388
2020-04-04,30186
2020-04-05,30882
2020-04-06,31530
2020-04-07,32125
2020-04-08,32944
2020-04-09,33785
2020-04-10,34630
2020-04-11,35559
2020-04-12,36082
2020-04-13,36562
2020-04-14,37170
2020-04-15,37766
2020-04-16,38329
2020-04-17,38782
2020-04-18,39117
2020-04-19,39343
2020-04-20,39647
2020-04-21,39811
2020-04-22,40074
2020-04-23,40296
2020-04-24,40508
2020-04-25,40647
2020-04-26,40774
2020-04-27,40880
2020-04-28,41023
2020-04-29,41146
2020-04-30,41313
2020-05-01,41444
2020-05-02,41567
2020-05-03,41687
2020-05-04,41792
2020-05-05,41845
2020-05-06,41886
2020-05-07,41941
2020-05-08,41999
2020-05-09,42041
2020-05-10,42105
2020-05-11,42214
2020-05-12,42312
2020-05-13,42440
2020-05-14,42555
2020-05-15,42726
2020-05-16,42809
2020-05-17,42879
2020-05-18,43029
2020-05-19,43206
2020-05-20,43351
2020-05-21,43528
2020-05-22,43783
2020-05-23,43874
2020-05-24,43978
2020-05-25,44147
2020-05-26,44323
2020-05-27,44447
2020-05-28,44616
2020-05-29,44760
2020-05-30,44828
2020-05-31,44860
2020-06-01,44908
2020-06-02,44978
2020-06-03,45061
2020-06-04,45152
2020-06-05,45270
2020-06-06,45316
2020-06-07,45353
2020-06-08,45437
2020-06-09,45515
2020-06-10,45615
2020-06-11,45702
2020-06-12,45791
2020-06-13,45814
2020-06-14,45839
2020-06-15,45894
2020-06-16,45955
2020-06-17,46019
2020-06-18,46085
2020-06-19,46147
2020-06-20,46195
2020-06-21,46231
2020-06-22,46296
2020-06-23,46384
2020-06-24,46423
2020-06-25,46506
2020-06-26,46613
2020-06-27,46656
2020-06-28,46704
2020-06-29,46802
2020-06-30,46888
2020-07-01,47042
2020-07-02,47160
2020-07-03,47301
2020-07-04,47406
2020-07-05,47534
2020-07-06,47740
2020-07-07,47964
2020-07-08,48201
2020-07-09,48448
2020-07-10,48816
2020-07-11,49025
2020-07-12,49257
2020-07-13,49698
2020-07-14,50127
2020-07-15,50677
2020-07-16,51202
2020-07-17,51882
2020-07-18,52303
2020-07-19,52707
2020-07-20,53436
2020-07-21,54166
2020-07-22,54917
2020-07-23,55700
2020-07-24,56519
2020-07-25,56992
2020-07-26,57415
2020-07-27,58254
2020-07-28,59070
2020-07-29,59929
2020-07-30,60752
2020-07-31,61682
2020-08-01,62238
2020-08-02,62614
2020-08-03,63363
2020-08-04,64189
2020-08-05,65040
2020-08-06,65810
2020-08-07,66789
2020-08-08,67370
2020-08-09,67790
2020-08-10,68656
2020-08-11,69436
2020-08-12,70287
2020-08-13,71120
2020-08-14,72015
2020-08-15,72588
2020-08-16,73092
2020-08-17,73941
2020-08-18,74854
2020-08-19,75689
2020-08-20,76662
2020-08-21,77578
2020-08-22,78171
2020-08-23,78685
2020-08-24,79670
2020-08-25,80587
2020-08-26,81565
2020-08-27,82518
2020-08-28,83453
2020-08-29,83936
2020-08-30,84386
2020-08-31,85279
2020-09-01,86264
2020-09-02,87116
2020-09-03,88010
2020-09-04,88975
2020-09-05,89538
2020-09-06,89981
2020-09-07,90762
2020-09-08,91579
2020-09-09,92379
2020-09-10,93288
2020-09-11,93824
2020-09-12,94376
2020-09-13,94812
2020-09-14,95648
2020-09-15,96638
2020-09-16,97644
2020-09-17,98579
2020-09-18,99547
2020-09-19,100132
2020-09-20,100658
2020-09-21,101680
2020-09-22,102574
2020-09-23,103472
2020-09-24,104119
2020-09-25,104998
2020-09-26,105526
2020-09-27,105990
2020-09-28,106971
2020-09-29,107995
2020-09-30,109020
2020-10-01,110258
2020-10-02,111473
2020-10-03,112238
2020-10-04,112868
2020-10-05,114236
2020-10-06,115746
2020-10-07,117306
2020-10-08,119227
2020-10-09,121309
2020-10-10,122677
2020-10-11,123727
2020-10-12,125055
2020-10-13,127363
2020-10-14,129858
2020-10-15,132581
2020-10-16,135354
2020-10-17,137267
2020-10-18,139016
2020-10-19,142548
2020-10-20,146565
2020-10-21,150548
2020-10-22,154529
2020-10-23,158434
2020-10-24,160660
2020-10-25,162723
2020-10-26,166318
2020-10-27,169986
2020-10-28,173434
2020-10-29,176663
2020-10-30,180079
2020-10-31,182089
2020-11-01,183798
2020-11-02,187016
2020-11-03,190096
2020-11-04,192695
2020-11-05,195262
2020-11-06,197544
2020-11-07,198664
2020-11-08,199312
2020-11-09,201184
2020-11-10,202729
2020-11-11,202860
2020-11-12,202860
2020-11-13,202860
2020-11-14,202860
