Province,Cases
2020-02-24,11
2020-02-25,13
2020-02-26,15
2020-02-27,20
2020-02-28,26
2020-02-29,33
2020-03-01,53
2020-03-02,65
2020-03-03,82
2020-03-04,100
2020-03-05,126
2020-03-06,148
2020-03-07,168
2020-03-08,210
2020-03-09,266
2020-03-10,363
2020-03-11,466
2020-03-12,584
2020-03-13,793
2020-03-14,986
2020-03-15,1201
2020-03-16,1531
2020-03-17,1829
2020-03-18,2109
2020-03-19,2382
2020-03-20,2691
2020-03-21,2938
2020-03-22,3159
2020-03-23,3418
2020-03-24,3633
2020-03-25,3859
2020-03-26,4051
2020-03-27,4313
2020-03-28,4487
2020-03-29,4625
2020-03-30,4804
2020-03-31,4967
2020-04-01,5126
2020-04-02,5275
2020-04-03,5472
2020-04-04,5611
2020-04-05,5768
2020-04-06,5951
2020-04-07,6118
2020-04-08,6285
2020-04-09,6410
2020-04-10,6528
2020-04-11,6617
2020-04-12,6718
2020-04-13,6799
2020-04-14,6869
2020-04-15,6946
2020-04-16,7026
2020-04-17,7131
2020-04-18,7218
2020-04-19,7254
2020-04-20,7311
2020-04-21,7375
2020-04-22,7412
2020-04-23,7465
2020-04-24,7543
2020-04-25,7577
2020-04-26,7607
2020-04-27,7633
2020-04-28,7664
2020-04-29,7689
2020-04-30,7710
2020-05-01,7735
2020-05-02,7764
2020-05-03,7784
2020-05-04,7796
2020-05-05,7811
2020-05-06,7824
2020-05-07,7835
2020-05-08,7853
2020-05-09,7864
2020-05-10,7871
2020-05-11,7890
2020-05-12,7902
2020-05-13,7919
2020-05-14,7929
2020-05-15,7940
2020-05-16,7946
2020-05-17,7951
2020-05-18,7963
2020-05-19,7966
2020-05-20,7970
2020-05-21,7976
2020-05-22,7978
2020-05-23,7985
2020-05-24,7988
2020-05-25,7994
2020-05-26,8000
2020-05-27,8001
2020-05-28,8004
2020-05-29,8005
2020-05-30,8007
2020-05-31,8009
2020-06-01,8017
2020-06-02,8027
2020-06-03,8031
2020-06-04,8034
2020-06-05,8041
2020-06-06,8046
2020-06-07,8055
2020-06-08,8063
2020-06-09,8071
2020-06-10,8081
2020-06-11,8091
2020-06-12,8099
2020-06-13,8108
2020-06-14,8115
2020-06-15,8122
2020-06-16,8128
2020-06-17,8135
2020-06-18,8144
2020-06-19,8153
2020-06-20,8153
2020-06-21,8156
2020-06-22,8159
2020-06-23,8163
2020-06-24,8167
2020-06-25,8169
2020-06-26,8175
2020-06-27,8179
2020-06-28,8183
2020-06-29,8186
2020-06-30,8191
2020-07-01,8195
2020-07-02,8200
2020-07-03,8205
2020-07-04,8208
2020-07-05,8213
2020-07-06,8219
2020-07-07,8224
2020-07-08,8243
2020-07-09,8255
2020-07-10,8265
2020-07-11,8279
2020-07-12,8305
2020-07-13,8330
2020-07-14,8364
2020-07-15,8413
2020-07-16,8452
2020-07-17,8504
2020-07-18,8584
2020-07-19,8635
2020-07-20,8710
2020-07-21,8773
2020-07-22,8872
2020-07-23,8942
2020-07-24,9008
2020-07-25,9108
2020-07-26,9240
2020-07-27,9388
2020-07-28,9545
2020-07-29,9681
2020-07-30,9782
2020-07-31,9895
2020-08-01,10057
2020-08-02,10269
2020-08-03,10590
2020-08-04,10858
2020-08-05,11112
2020-08-06,11333
2020-08-07,11525
2020-08-08,11730
2020-08-09,12119
2020-08-10,12415
2020-08-11,12755
2020-08-12,13107
2020-08-13,13314
2020-08-14,13482
2020-08-15,13800
2020-08-16,14185
2020-08-17,14610
2020-08-18,14964
2020-08-19,15347
2020-08-20,15605
2020-08-21,15835
2020-08-22,16118
2020-08-23,16481
2020-08-24,16895
2020-08-25,17394
2020-08-26,17766
2020-08-27,18035
2020-08-28,18252
2020-08-29,18511
2020-08-30,18854
2020-08-31,19185
2020-09-01,19602
2020-09-02,19929
2020-09-03,20213
2020-09-04,20440
2020-09-05,20726
2020-09-06,21063
2020-09-07,21386
2020-09-08,21742
2020-09-09,22013
2020-09-10,22182
2020-09-11,22355
2020-09-12,22576
2020-09-13,22811
2020-09-14,23070
2020-09-15,23345
2020-09-16,23588
2020-09-17,23768
2020-09-18,23936
2020-09-19,24094
2020-09-20,24311
2020-09-21,24477
2020-09-22,24677
2020-09-23,24965
2020-09-24,25152
2020-09-25,25297
2020-09-26,25482
2020-09-27,25616
2020-09-28,25811
2020-09-29,26013
2020-09-30,26184
2020-10-01,26302
2020-10-02,26476
2020-10-03,26652
2020-10-04,26846
2020-10-05,27050
2020-10-06,27311
2020-10-07,27563
2020-10-08,27704
2020-10-09,27967
2020-10-10,28154
2020-10-11,28430
2020-10-12,28759
2020-10-13,29110
2020-10-14,29417
2020-10-15,29749
2020-10-16,30042
2020-10-17,30369
2020-10-18,30754
2020-10-19,31295
2020-10-20,31767
2020-10-21,32233
2020-10-22,32720
2020-10-23,33154
2020-10-24,33610
2020-10-25,34123
2020-10-26,34714
2020-10-27,35322
2020-10-28,35766
2020-10-29,36271
2020-10-30,36751
2020-10-31,37274
2020-11-01,37855
2020-11-02,38494
2020-11-03,39097
2020-11-04,39718
2020-11-05,40321
2020-11-06,40869
2020-11-07,41406
2020-11-08,41940
2020-11-09,42101
2020-11-10,42220
2020-11-11,42350
2020-11-12,42350
2020-11-13,42350
2020-11-14,42350
