Province,Cases
2020-02-28,12
2020-02-29,12
2020-03-01,14
2020-03-02,21
2020-03-03,30
2020-03-04,36
2020-03-05,43
2020-03-06,59
2020-03-07,74
2020-03-08,90
2020-03-09,125
2020-03-10,178
2020-03-11,230
2020-03-12,307
2020-03-13,405
2020-03-14,500
2020-03-15,613
2020-03-16,774
2020-03-17,920
2020-03-18,1059
2020-03-19,1174
2020-03-20,1360
2020-03-21,1465
2020-03-22,1571
2020-03-23,1702
2020-03-24,1810
2020-03-25,1936
2020-03-26,2025
2020-03-27,2156
2020-03-28,2273
2020-03-29,2367
2020-03-30,2458
2020-03-31,2502
2020-04-01,2624
2020-04-02,2717
2020-04-03,2805
2020-04-04,2856
2020-04-05,2936
2020-04-06,3045
2020-04-07,3121
2020-04-08,3179
2020-04-09,3256
2020-04-10,3298
2020-04-11,3330
2020-04-12,3358
2020-04-13,3432
2020-04-14,3466
2020-04-15,3536
2020-04-16,3577
2020-04-17,3606
2020-04-18,3637
2020-04-19,3658
2020-04-20,3691
2020-04-21,3718
2020-04-22,3753
2020-04-23,3795
2020-04-24,3821
2020-04-25,3832
2020-04-26,3843
2020-04-27,3864
2020-04-28,3880
2020-04-29,3915
2020-04-30,3933
2020-05-01,3938
2020-05-02,3954
2020-05-03,3959
2020-05-04,3966
2020-05-05,3971
2020-05-06,3979
2020-05-07,3982
2020-05-08,3988
2020-05-09,3996
2020-05-10,4002
2020-05-11,4007
2020-05-12,4014
2020-05-13,4018
2020-05-14,4020
2020-05-15,4022
2020-05-16,4026
2020-05-17,4027
2020-05-18,4033
2020-05-19,4039
2020-05-20,4044
2020-05-21,4054
2020-05-22,4056
2020-05-23,4059
2020-05-24,4064
2020-05-25,4065
2020-05-26,4066
2020-05-27,4066
2020-05-28,4067
2020-05-29,4068
2020-05-30,4068
2020-05-31,4069
2020-06-01,4070
2020-06-02,4070
2020-06-03,4070
2020-06-04,4070
2020-06-05,4072
2020-06-06,4072
2020-06-07,4072
2020-06-08,4074
2020-06-09,4077
2020-06-10,4077
2020-06-11,4077
2020-06-12,4078
2020-06-13,4078
2020-06-14,4078
2020-06-15,4079
2020-06-16,4079
2020-06-17,4081
2020-06-18,4083
2020-06-19,4083
2020-06-20,4083
2020-06-21,4086
2020-06-22,4086
2020-06-23,4087
2020-06-24,4087
2020-06-25,4088
2020-06-26,4088
2020-06-27,4090
2020-06-28,4091
2020-06-29,4092
2020-06-30,4093
2020-07-01,4096
2020-07-02,4097
2020-07-03,4097
2020-07-04,4097
2020-07-05,4098
2020-07-06,4099
2020-07-07,4099
2020-07-08,4101
2020-07-09,4103
2020-07-10,4103
2020-07-11,4105
2020-07-12,4108
2020-07-13,4110
2020-07-14,4113
2020-07-15,4120
2020-07-16,4129
2020-07-17,4133
2020-07-18,4135
2020-07-19,4140
2020-07-20,4145
2020-07-21,4150
2020-07-22,4159
2020-07-23,4168
2020-07-24,4175
2020-07-25,4180
2020-07-26,4185
2020-07-27,4200
2020-07-28,4227
2020-07-29,4246
2020-07-30,4269
2020-07-31,4287
2020-08-01,4307
2020-08-02,4335
2020-08-03,4385
2020-08-04,4461
2020-08-05,4505
2020-08-06,4564
2020-08-07,4624
2020-08-08,4709
2020-08-09,4787
2020-08-10,4916
2020-08-11,5031
2020-08-12,5140
2020-08-13,5230
2020-08-14,5316
2020-08-15,5408
2020-08-16,5492
2020-08-17,5616
2020-08-18,5769
2020-08-19,5918
2020-08-20,6062
2020-08-21,6176
2020-08-22,6309
2020-08-23,6430
2020-08-24,6566
2020-08-25,6713
2020-08-26,6843
2020-08-27,6982
2020-08-28,7109
2020-08-29,7235
2020-08-30,7359
2020-08-31,7497
2020-09-01,7591
2020-09-02,7718
2020-09-03,7812
2020-09-04,7903
2020-09-05,8018
2020-09-06,8143
2020-09-07,8277
2020-09-08,8357
2020-09-09,8430
2020-09-10,8546
2020-09-11,8630
2020-09-12,8714
2020-09-13,8813
2020-09-14,8901
2020-09-15,8983
2020-09-16,9096
2020-09-17,9187
2020-09-18,9281
2020-09-19,9381
2020-09-20,9465
2020-09-21,9546
2020-09-22,9612
2020-09-23,9702
2020-09-24,9779
2020-09-25,9847
2020-09-26,9898
2020-09-27,9950
2020-09-28,10009
2020-09-29,10083
2020-09-30,10160
2020-10-01,10250
2020-10-02,10317
2020-10-03,10381
2020-10-04,10465
2020-10-05,10567
2020-10-06,10674
2020-10-07,10777
2020-10-08,10909
2020-10-09,11007
2020-10-10,11115
2020-10-11,11201
2020-10-12,11335
2020-10-13,11488
2020-10-14,11658
2020-10-15,11818
2020-10-16,12004
2020-10-17,12161
2020-10-18,12338
2020-10-19,12616
2020-10-20,12882
2020-10-21,13168
2020-10-22,13395
2020-10-23,13676
2020-10-24,13949
2020-10-25,14213
2020-10-26,14518
2020-10-27,14834
2020-10-28,15093
2020-10-29,15375
2020-10-30,15630
2020-10-31,15914
2020-11-01,16157
2020-11-02,16425
2020-11-03,16631
2020-11-04,16817
2020-11-05,16998
2020-11-06,17167
2020-11-07,17312
2020-11-08,17512
2020-11-09,17584
2020-11-10,17615
2020-11-11,17620
2020-11-12,17620
2020-11-13,17620
2020-11-14,17620
