Province,Cases
2020-03-01,10
2020-03-02,12
2020-03-03,16
2020-03-04,17
2020-03-05,21
2020-03-06,27
2020-03-07,38
2020-03-08,52
2020-03-09,82
2020-03-10,112
2020-03-11,151
2020-03-12,208
2020-03-13,284
2020-03-14,363
2020-03-15,451
2020-03-16,557
2020-03-17,665
2020-03-18,771
2020-03-19,866
2020-03-20,1013
2020-03-21,1114
2020-03-22,1224
2020-03-23,1302
2020-03-24,1403
2020-03-25,1492
2020-03-26,1576
2020-03-27,1685
2020-03-28,1734
2020-03-29,1816
2020-03-30,1872
2020-03-31,1912
2020-04-01,1976
2020-04-02,2021
2020-04-03,2045
2020-04-04,2075
2020-04-05,2100
2020-04-06,2125
2020-04-07,2165
2020-04-08,2199
2020-04-09,2216
2020-04-10,2247
2020-04-11,2275
2020-04-12,2293
2020-04-13,2315
2020-04-14,2338
2020-04-15,2368
2020-04-16,2382
2020-04-17,2396
2020-04-18,2406
2020-04-19,2414
2020-04-20,2423
2020-04-21,2431
2020-04-22,2435
2020-04-23,2443
2020-04-24,2462
2020-04-25,2469
2020-04-26,2472
2020-04-27,2474
2020-04-28,2479
2020-04-29,2481
2020-04-30,2487
2020-05-01,2488
2020-05-02,2490
2020-05-03,2494
2020-05-04,2495
2020-05-05,2497
2020-05-06,2497
2020-05-07,2498
2020-05-08,2500
2020-05-09,2501
2020-05-10,2501
2020-05-11,2505
2020-05-12,2509
2020-05-13,2513
2020-05-14,2514
2020-05-15,2519
2020-05-16,2520
2020-05-17,2520
2020-05-18,2521
2020-05-19,2524
2020-05-20,2525
2020-05-21,2529
2020-05-22,2529
2020-05-23,2530
2020-05-24,2531
2020-05-25,2531
2020-05-26,2531
2020-05-27,2533
2020-05-28,2534
2020-05-29,2534
2020-05-30,2536
2020-05-31,2537
2020-06-01,2539
2020-06-02,2539
2020-06-03,2542
2020-06-04,2542
2020-06-05,2544
2020-06-06,2544
2020-06-07,2545
2020-06-08,2545
2020-06-09,2546
2020-06-10,2546
2020-06-11,2547
2020-06-12,2547
2020-06-13,2548
2020-06-14,2549
2020-06-15,2551
2020-06-16,2556
2020-06-17,2562
2020-06-18,2568
2020-06-19,2575
2020-06-20,2585
2020-06-21,2588
2020-06-22,2593
2020-06-23,2596
2020-06-24,2608
2020-06-25,2619
2020-06-26,2629
2020-06-27,2637
2020-06-28,2649
2020-06-29,2660
2020-06-30,2675
2020-07-01,2687
2020-07-02,2692
2020-07-03,2703
2020-07-04,2714
2020-07-05,2722
2020-07-06,2736
2020-07-07,2749
2020-07-08,2774
2020-07-09,2793
2020-07-10,2807
2020-07-11,2821
2020-07-12,2826
2020-07-13,2837
2020-07-14,2850
2020-07-15,2863
2020-07-16,2887
2020-07-17,2914
2020-07-18,2922
2020-07-19,2932
2020-07-20,2943
2020-07-21,2951
2020-07-22,2966
2020-07-23,2978
2020-07-24,2986
2020-07-25,2988
2020-07-26,3004
2020-07-27,3012
2020-07-28,3020
2020-07-29,3027
2020-07-30,3045
2020-07-31,3064
2020-08-01,3080
2020-08-02,3089
2020-08-03,3101
2020-08-04,3118
2020-08-05,3146
2020-08-06,3171
2020-08-07,3197
2020-08-08,3215
2020-08-09,3244
2020-08-10,3272
2020-08-11,3307
2020-08-12,3363
2020-08-13,3409
2020-08-14,3463
2020-08-15,3504
2020-08-16,3540
2020-08-17,3602
2020-08-18,3671
2020-08-19,3732
2020-08-20,3809
2020-08-21,3888
2020-08-22,3954
2020-08-23,3994
2020-08-24,4043
2020-08-25,4122
2020-08-26,4232
2020-08-27,4298
2020-08-28,4381
2020-08-29,4464
2020-08-30,4551
2020-08-31,4622
2020-09-01,4746
2020-09-02,4848
2020-09-03,4944
2020-09-04,5051
2020-09-05,5127
2020-09-06,5189
2020-09-07,5282
2020-09-08,5410
2020-09-09,5494
2020-09-10,5602
2020-09-11,5724
2020-09-12,5785
2020-09-13,5854
2020-09-14,5924
2020-09-15,6002
2020-09-16,6110
2020-09-17,6215
2020-09-18,6338
2020-09-19,6455
2020-09-20,6529
2020-09-21,6655
2020-09-22,6836
2020-09-23,7030
2020-09-24,7196
2020-09-25,7385
2020-09-26,7570
2020-09-27,7664
2020-09-28,7825
2020-09-29,8063
2020-09-30,8384
2020-10-01,8593
2020-10-02,8899
2020-10-03,9157
2020-10-04,9299
2020-10-05,9581
2020-10-06,10092
2020-10-07,10606
2020-10-08,11106
2020-10-09,11618
2020-10-10,11951
2020-10-11,12112
2020-10-12,12305
2020-10-13,12743
2020-10-14,13442
2020-10-15,14319
2020-10-16,15145
2020-10-17,15730
2020-10-18,15933
2020-10-19,16754
2020-10-20,17656
2020-10-21,18582
2020-10-22,19550
2020-10-23,20608
2020-10-24,21460
2020-10-25,21718
2020-10-26,22618
2020-10-27,23662
2020-10-28,24895
2020-10-29,26085
2020-10-30,27151
2020-10-31,27793
2020-11-01,28018
2020-11-02,28262
2020-11-03,29196
2020-11-04,30278
2020-11-05,31293
2020-11-06,32408
2020-11-07,32868
2020-11-08,33049
2020-11-09,33678
2020-11-10,34537
2020-11-11,34540
2020-11-12,34540
2020-11-13,34540
