Province,Cases
2020-01-10,11
2020-01-11,12
2020-01-12,13
2020-01-13,15
2020-01-14,15
2020-01-15,16
2020-01-16,17
2020-01-17,19
2020-01-18,21
2020-01-19,22
2020-01-20,25
2020-01-21,26
2020-01-22,27
2020-01-23,31
2020-01-24,32
2020-01-25,33
2020-01-26,35
2020-01-27,37
2020-01-28,38
2020-01-29,40
2020-01-30,43
2020-01-31,47
2020-02-01,57
2020-02-02,65
2020-02-03,75
2020-02-04,77
2020-02-05,81
2020-02-06,86
2020-02-07,95
2020-02-08,103
2020-02-09,105
2020-02-10,117
2020-02-11,126
2020-02-12,138
2020-02-13,154
2020-02-14,165
2020-02-15,178
2020-02-16,193
2020-02-17,212
2020-02-18,226
2020-02-19,238
2020-02-20,266
2020-02-21,295
2020-02-22,325
2020-02-23,371
2020-02-24,428
2020-02-25,481
2020-02-26,554
2020-02-27,652
2020-02-28,815
2020-02-29,926
2020-03-01,1258
2020-03-02,1647
2020-03-03,2055
2020-03-04,2528
2020-03-05,3196
2020-03-06,4004
2020-03-07,4870
2020-03-08,5957
2020-03-09,7494
2020-03-10,9552
2020-03-11,11543
2020-03-12,13932
2020-03-13,16832
2020-03-14,19452
2020-03-15,22188
2020-03-16,25197
2020-03-17,28152
2020-03-18,30905
2020-03-19,33465
2020-03-20,36682
2020-03-21,38700
2020-03-22,40399
2020-03-23,42599
2020-03-24,44682
2020-03-25,46518
2020-03-26,48136
2020-03-27,49685
2020-03-28,50963
2020-03-29,51866
2020-03-30,53009
2020-03-31,54137
2020-04-01,55529
2020-04-02,56572
2020-04-03,57531
2020-04-04,58281
2020-04-05,58950
2020-04-06,59597
2020-04-07,60364
2020-04-08,61073
2020-04-09,61726
2020-04-10,62456
2020-04-11,63054
2020-04-12,63567
2020-04-13,63965
2020-04-14,64480
2020-04-15,64984
2020-04-16,65584
2020-04-17,65990
2020-04-18,66473
2020-04-19,66742
2020-04-20,67037
2020-04-21,67523
2020-04-22,67994
2020-04-23,68365
2020-04-24,68626
2020-04-25,68766
2020-04-26,68895
2020-04-27,69111
2020-04-28,69379
2020-04-29,69603
2020-04-30,69799
2020-05-01,70006
2020-05-02,70189
2020-05-03,70268
2020-05-04,70383
2020-05-05,70448
2020-05-06,70505
2020-05-07,70591
2020-05-08,70664
2020-05-09,70733
2020-05-10,70810
2020-05-11,71011
2020-05-12,71152
2020-05-13,71299
2020-05-14,71463
2020-05-15,71601
2020-05-16,71658
2020-05-17,71745
2020-05-18,71884
2020-05-19,72027
2020-05-20,72140
2020-05-21,72264
2020-05-22,72356
2020-05-23,72414
2020-05-24,72464
2020-05-25,72615
2020-05-26,72780
2020-05-27,72878
2020-05-28,73006
2020-05-29,73129
2020-05-30,73188
2020-05-31,73270
2020-06-01,73429
2020-06-02,73551
2020-06-03,73699
2020-06-04,73812
2020-06-05,73955
2020-06-06,74030
2020-06-07,74095
2020-06-08,74237
2020-06-09,74348
2020-06-10,74463
2020-06-11,74566
2020-06-12,74689
2020-06-13,74715
2020-06-14,74763
2020-06-15,74889
2020-06-16,74943
2020-06-17,75024
2020-06-18,75094
2020-06-19,75153
2020-06-20,75192
2020-06-21,75221
2020-06-22,75259
