Province,Cases
2020-02-21,12
2020-02-22,14
2020-02-23,16
2020-02-24,18
2020-02-25,26
2020-02-26,29
2020-02-27,33
2020-02-28,37
2020-02-29,41
2020-03-01,55
2020-03-02,70
2020-03-03,85
2020-03-04,98
2020-03-05,122
2020-03-06,162
2020-03-07,193
2020-03-08,231
2020-03-09,274
2020-03-10,340
2020-03-11,420
2020-03-12,515
2020-03-13,654
2020-03-14,756
2020-03-15,868
2020-03-16,1019
2020-03-17,1168
2020-03-18,1298
2020-03-19,1441
2020-03-20,1634
2020-03-21,1740
2020-03-22,1830
2020-03-23,1926
2020-03-24,2022
2020-03-25,2120
2020-03-26,2198
2020-03-27,2247
2020-03-28,2297
2020-03-29,2347
2020-03-30,2382
2020-03-31,2413
2020-04-01,2464
2020-04-02,2505
2020-04-03,2542
2020-04-04,2561
2020-04-05,2586
2020-04-06,2604
2020-04-07,2629
2020-04-08,2665
2020-04-09,2690
2020-04-10,2705
2020-04-11,2718
2020-04-12,2729
2020-04-13,2735
2020-04-14,2743
2020-04-15,2753
2020-04-16,2761
2020-04-17,2774
2020-04-18,2785
2020-04-19,2791
2020-04-20,2795
2020-04-21,2800
2020-04-22,2807
2020-04-23,2815
2020-04-24,2821
2020-04-25,2825
2020-04-26,2828
2020-04-27,2830
2020-04-28,2832
2020-04-29,2836
2020-04-30,2840
2020-05-01,2842
2020-05-02,2846
2020-05-03,2847
2020-05-04,2851
2020-05-05,2852
2020-05-06,2853
2020-05-07,2854
2020-05-08,2854
2020-05-09,2854
2020-05-10,2855
2020-05-11,2858
2020-05-12,2861
2020-05-13,2864
2020-05-14,2865
2020-05-15,2866
2020-05-16,2867
2020-05-17,2868
2020-05-18,2871
2020-05-19,2873
2020-05-20,2874
2020-05-21,2874
2020-05-22,2875
2020-05-23,2878
2020-05-24,2878
2020-05-25,2882
2020-05-26,2882
2020-05-27,2884
2020-05-28,2885
2020-05-29,2890
2020-05-30,2895
2020-05-31,2898
2020-06-01,2902
2020-06-02,2904
2020-06-03,2906
2020-06-04,2909
2020-06-05,2912
2020-06-06,2916
2020-06-07,2917
2020-06-08,2918
2020-06-09,2920
2020-06-10,2923
2020-06-11,2925
2020-06-12,2926
2020-06-13,2927
2020-06-14,2929
2020-06-15,2930
2020-06-16,2931
2020-06-17,2933
2020-06-18,2935
2020-06-19,2936
2020-06-20,2940
2020-06-21,2944
2020-06-22,2950
2020-06-23,2958
2020-06-24,3023
2020-06-25,3029
2020-06-26,3031
2020-06-27,3035
2020-06-28,3047
2020-06-29,3049
2020-06-30,3053
2020-07-01,3054
2020-07-02,3056
2020-07-03,3059
2020-07-04,3062
2020-07-05,3065
2020-07-06,3068
2020-07-07,3075
2020-07-08,3082
2020-07-09,3087
2020-07-10,3099
2020-07-11,3106
2020-07-12,3112
2020-07-13,3122
2020-07-14,3140
2020-07-15,3156
2020-07-16,3177
2020-07-17,3192
2020-07-18,3204
2020-07-19,3219
2020-07-20,3241
2020-07-21,3261
2020-07-22,3280
2020-07-23,3309
2020-07-24,3338
2020-07-25,3366
2020-07-26,3389
2020-07-27,3434
2020-07-28,3470
2020-07-29,3518
2020-07-30,3550
2020-07-31,3614
2020-08-01,3680
2020-08-02,3732
2020-08-03,3814
2020-08-04,3904
2020-08-05,4019
2020-08-06,4141
2020-08-07,4288
2020-08-08,4410
2020-08-09,4512
2020-08-10,4673
2020-08-11,4853
2020-08-12,5072
2020-08-13,5281
2020-08-14,5532
2020-08-15,5719
2020-08-16,5943
2020-08-17,6197
2020-08-18,6465
2020-08-19,6680
2020-08-20,6944
2020-08-21,7245
2020-08-22,7481
2020-08-23,7732
2020-08-24,8010
2020-08-25,8277
2020-08-26,8583
2020-08-27,8827
2020-08-28,9187
2020-08-29,9416
2020-08-30,9674
2020-08-31,9998
2020-09-01,10296
2020-09-02,10549
2020-09-03,10801
2020-09-04,11093
2020-09-05,11347
2020-09-06,11615
2020-09-07,11843
2020-09-08,12069
2020-09-09,12285
2020-09-10,12536
2020-09-11,12830
2020-09-12,13040
2020-09-13,13214
2020-09-14,13434
2020-09-15,13632
2020-09-16,13840
2020-09-17,14084
2020-09-18,14260
2020-09-19,14452
2020-09-20,14621
2020-09-21,14834
2020-09-22,15047
2020-09-23,15288
2020-09-24,15451
2020-09-25,15619
2020-09-26,15800
2020-09-27,15912
2020-09-28,16048
2020-09-29,16199
2020-09-30,16377
2020-10-01,16559
2020-10-02,16700
2020-10-03,16823
2020-10-04,16962
2020-10-05,17126
2020-10-06,17323
2020-10-07,17543
2020-10-08,17780
2020-10-09,18066
2020-10-10,18260
2020-10-11,18409
2020-10-12,18542
2020-10-13,18743
2020-10-14,19057
2020-10-15,19354
2020-10-16,19663
2020-10-17,19902
2020-10-18,20092
2020-10-19,20374
2020-10-20,20698
2020-10-21,21128
2020-10-22,21491
2020-10-23,21842
2020-10-24,22110
2020-10-25,22300
2020-10-26,22664
2020-10-27,23105
2020-10-28,23530
2020-10-29,23929
2020-10-30,24379
2020-10-31,24713
2020-11-01,24980
2020-11-02,25192
2020-11-03,25582
2020-11-04,25992
2020-11-05,26413
2020-11-06,26938
2020-11-07,27199
2020-11-08,27359
2020-11-09,27642
2020-11-10,27929
2020-11-11,27994
2020-11-12,27994
2020-11-13,27994
