Province,Cases
2020-02-23,10
2020-02-24,10
2020-02-25,12
2020-02-26,16
2020-02-27,18
2020-02-28,24
2020-02-29,26
2020-03-01,31
2020-03-02,39
2020-03-03,46
2020-03-04,59
2020-03-05,73
2020-03-06,93
2020-03-07,108
2020-03-08,127
2020-03-09,159
2020-03-10,185
2020-03-11,223
2020-03-12,265
2020-03-13,328
2020-03-14,382
2020-03-15,439
2020-03-16,521
2020-03-17,588
2020-03-18,667
2020-03-19,717
2020-03-20,805
2020-03-21,860
2020-03-22,909
2020-03-23,978
2020-03-24,1017
2020-03-25,1056
2020-03-26,1097
2020-03-27,1140
2020-03-28,1166
2020-03-29,1195
2020-03-30,1236
2020-03-31,1252
2020-04-01,1303
2020-04-02,1321
2020-04-03,1331
2020-04-04,1354
2020-04-05,1366
2020-04-06,1382
2020-04-07,1395
2020-04-08,1402
2020-04-09,1418
2020-04-10,1427
2020-04-11,1436
2020-04-12,1442
2020-04-13,1449
2020-04-14,1458
2020-04-15,1468
2020-04-16,1479
2020-04-17,1487
2020-04-18,1495
2020-04-19,1505
2020-04-20,1513
2020-04-21,1520
2020-04-22,1526
2020-04-23,1526
2020-04-24,1532
2020-04-25,1534
2020-04-26,1536
2020-04-27,1539
2020-04-28,1542
2020-04-29,1544
2020-04-30,1547
2020-05-01,1554
2020-05-02,1557
2020-05-03,1557
2020-05-04,1558
2020-05-05,1560
2020-05-06,1560
2020-05-07,1560
2020-05-08,1561
2020-05-09,1563
2020-05-10,1563
2020-05-11,1565
2020-05-12,1567
2020-05-13,1570
2020-05-14,1572
2020-05-15,1573
2020-05-16,1577
2020-05-17,1578
2020-05-18,1581
2020-05-19,1587
2020-05-20,1589
2020-05-21,1593
2020-05-22,1594
2020-05-23,1595
2020-05-24,1596
2020-05-25,1597
2020-05-26,1599
2020-05-27,1600
2020-05-28,1604
2020-05-29,1610
2020-05-30,1611
2020-05-31,1612
2020-06-01,1614
2020-06-02,1617
2020-06-03,1618
2020-06-04,1618
2020-06-05,1618
2020-06-06,1622
2020-06-07,1623
2020-06-08,1624
2020-06-09,1625
2020-06-10,1625
2020-06-11,1625
2020-06-12,1626
2020-06-13,1628
2020-06-14,1628
2020-06-15,1629
2020-06-16,1629
2020-06-17,1629
2020-06-18,1629
2020-06-19,1630
2020-06-20,1630
2020-06-21,1630
2020-06-22,1630
2020-06-23,1630
2020-06-24,1630
2020-06-25,1630
2020-06-26,1630
2020-06-27,1630
2020-06-28,1630
2020-06-29,1630
2020-06-30,1630
2020-07-01,1630
2020-07-02,1630
2020-07-03,1630
2020-07-04,1632
2020-07-05,1632
2020-07-06,1633
2020-07-07,1634
2020-07-08,1634
2020-07-09,1637
2020-07-10,1638
2020-07-11,1639
2020-07-12,1641
2020-07-13,1645
2020-07-14,1646
2020-07-15,1649
2020-07-16,1650
2020-07-17,1653
2020-07-18,1658
2020-07-19,1663
2020-07-20,1664
2020-07-21,1668
2020-07-22,1674
2020-07-23,1681
2020-07-24,1684
2020-07-25,1692
2020-07-26,1697
2020-07-27,1702
2020-07-28,1706
2020-07-29,1708
2020-07-30,1709
2020-07-31,1717
2020-08-01,1728
2020-08-02,1731
2020-08-03,1738
2020-08-04,1749
2020-08-05,1766
2020-08-06,1779
2020-08-07,1787
2020-08-08,1804
2020-08-09,1812
2020-08-10,1838
2020-08-11,1866
2020-08-12,1890
2020-08-13,1907
2020-08-14,1932
2020-08-15,1957
2020-08-16,1983
2020-08-17,2010
2020-08-18,2044
2020-08-19,2073
2020-08-20,2103
2020-08-21,2145
2020-08-22,2194
2020-08-23,2231
2020-08-24,2285
2020-08-25,2330
2020-08-26,2383
2020-08-27,2431
2020-08-28,2478
2020-08-29,2526
2020-08-30,2580
2020-08-31,2616
2020-09-01,2659
2020-09-02,2712
2020-09-03,2746
2020-09-04,2801
2020-09-05,2845
2020-09-06,2887
2020-09-07,2932
2020-09-08,2968
2020-09-09,3016
2020-09-10,3059
2020-09-11,3119
2020-09-12,3176
2020-09-13,3225
2020-09-14,3288
2020-09-15,3368
2020-09-16,3427
2020-09-17,3490
2020-09-18,3563
2020-09-19,3625
2020-09-20,3683
2020-09-21,3752
2020-09-22,3835
2020-09-23,3894
2020-09-24,3956
2020-09-25,4036
2020-09-26,4100
2020-09-27,4155
2020-09-28,4225
2020-09-29,4312
2020-09-30,4401
2020-10-01,4506
2020-10-02,4584
2020-10-03,4651
2020-10-04,4708
2020-10-05,4786
2020-10-06,4866
2020-10-07,4945
2020-10-08,5016
2020-10-09,5098
2020-10-10,5160
2020-10-11,5218
2020-10-12,5282
2020-10-13,5355
2020-10-14,5423
2020-10-15,5499
2020-10-16,5570
2020-10-17,5646
2020-10-18,5710
2020-10-19,5775
2020-10-20,5837
2020-10-21,5924
2020-10-22,6017
2020-10-23,6078
2020-10-24,6154
2020-10-25,6205
2020-10-26,6292
2020-10-27,6365
2020-10-28,6449
2020-10-29,6528
2020-10-30,6612
2020-10-31,6701
2020-11-01,6801
2020-11-02,6894
2020-11-03,7022
2020-11-04,7104
2020-11-05,7170
2020-11-06,7256
2020-11-07,7305
2020-11-08,7347
2020-11-09,7374
2020-11-10,7393
2020-11-11,7407
2020-11-12,7407
2020-11-13,7407
2020-11-14,7407
