Province,Cases
2020-02-27,13
2020-02-28,16
2020-02-29,17
2020-03-01,21
2020-03-02,27
2020-03-03,32
2020-03-04,36
2020-03-05,46
2020-03-06,51
2020-03-07,62
2020-03-08,70
2020-03-09,106
2020-03-10,146
2020-03-11,182
2020-03-12,233
2020-03-13,318
2020-03-14,389
2020-03-15,457
2020-03-16,552
2020-03-17,659
2020-03-18,747
2020-03-19,861
2020-03-20,1009
2020-03-21,1111
2020-03-22,1250
2020-03-23,1389
2020-03-24,1478
2020-03-25,1598
2020-03-26,1688
2020-03-27,1764
2020-03-28,1801
2020-03-29,1839
2020-03-30,1897
2020-03-31,1947
2020-04-01,2009
2020-04-02,2043
2020-04-03,2083
2020-04-04,2138
2020-04-05,2181
2020-04-06,2212
2020-04-07,2246
2020-04-08,2270
2020-04-09,2294
2020-04-10,2311
2020-04-11,2328
2020-04-12,2353
2020-04-13,2368
2020-04-14,2378
2020-04-15,2390
2020-04-16,2400
2020-04-17,2409
2020-04-18,2416
2020-04-19,2427
2020-04-20,2431
2020-04-21,2445
2020-04-22,2454
2020-04-23,2459
2020-04-24,2462
2020-04-25,2466
2020-04-26,2468
2020-04-27,2473
2020-04-28,2476
2020-04-29,2485
2020-04-30,2492
2020-05-01,2499
2020-05-02,2504
2020-05-03,2506
2020-05-04,2508
2020-05-05,2513
2020-05-06,2515
2020-05-07,2515
2020-05-08,2518
2020-05-09,2518
2020-05-10,2519
2020-05-11,2520
2020-05-12,2521
2020-05-13,2522
2020-05-14,2524
2020-05-15,2527
2020-05-16,2527
2020-05-17,2528
2020-05-18,2528
2020-05-19,2530
2020-05-20,2532
2020-05-21,2533
2020-05-22,2535
2020-05-23,2536
2020-05-24,2537
2020-05-25,2537
2020-05-26,2537
2020-05-27,2537
2020-05-28,2537
2020-05-29,2539
2020-05-30,2539
2020-05-31,2539
2020-06-01,2540
2020-06-02,2542
2020-06-03,2545
2020-06-04,2546
2020-06-05,2547
2020-06-06,2548
2020-06-07,2548
2020-06-08,2553
2020-06-09,2554
2020-06-10,2555
2020-06-11,2555
2020-06-12,2556
2020-06-13,2556
2020-06-14,2556
2020-06-15,2558
2020-06-16,2559
2020-06-17,2559
2020-06-18,2559
2020-06-19,2559
2020-06-20,2559
2020-06-21,2559
2020-06-22,2560
2020-06-23,2560
2020-06-24,2561
2020-06-25,2561
2020-06-26,2563
2020-06-27,2563
2020-06-28,2563
2020-06-29,2564
2020-06-30,2564
2020-07-01,2567
2020-07-02,2567
2020-07-03,2568
2020-07-04,2568
2020-07-05,2568
2020-07-06,2570
2020-07-07,2572
2020-07-08,2572
2020-07-09,2572
2020-07-10,2574
2020-07-11,2575
2020-07-12,2575
2020-07-13,2579
2020-07-14,2584
2020-07-15,2592
2020-07-16,2595
2020-07-17,2601
2020-07-18,2604
2020-07-19,2610
2020-07-20,2621
2020-07-21,2635
2020-07-22,2647
2020-07-23,2661
2020-07-24,2695
2020-07-25,2715
2020-07-26,2733
2020-07-27,2753
2020-07-28,2780
2020-07-29,2802
2020-07-30,2823
2020-07-31,2849
2020-08-01,2893
2020-08-02,2923
2020-08-03,2956
2020-08-04,3009
2020-08-05,3039
2020-08-06,3066
2020-08-07,3109
2020-08-08,3150
2020-08-09,3191
2020-08-10,3248
2020-08-11,3304
2020-08-12,3354
2020-08-13,3417
2020-08-14,3513
2020-08-15,3588
2020-08-16,3636
2020-08-17,3718
2020-08-18,3833
2020-08-19,3960
2020-08-20,4062
2020-08-21,4154
2020-08-22,4260
2020-08-23,4349
2020-08-24,4493
2020-08-25,4626
2020-08-26,4768
2020-08-27,4909
2020-08-28,5042
2020-08-29,5155
2020-08-30,5276
2020-08-31,5423
2020-09-01,5595
2020-09-02,5748
2020-09-03,5903
2020-09-04,6127
2020-09-05,6306
2020-09-06,6424
2020-09-07,6622
2020-09-08,6844
2020-09-09,7089
2020-09-10,7326
2020-09-11,7610
2020-09-12,7818
2020-09-13,8018
2020-09-14,8294
2020-09-15,8531
2020-09-16,8891
2020-09-17,9144
2020-09-18,9511
2020-09-19,9797
2020-09-20,10031
2020-09-21,10353
2020-09-22,10700
2020-09-23,11066
2020-09-24,11446
2020-09-25,11791
2020-09-26,12050
2020-09-27,12216
2020-09-28,12463
2020-09-29,12835
2020-09-30,13237
2020-10-01,13561
2020-10-02,14084
2020-10-03,14367
2020-10-04,14670
2020-10-05,15201
2020-10-06,15783
2020-10-07,16257
2020-10-08,17013
2020-10-09,17735
2020-10-10,18138
2020-10-11,18495
2020-10-12,18822
2020-10-13,19355
2020-10-14,20143
2020-10-15,21094
2020-10-16,21978
2020-10-17,22658
2020-10-18,23117
2020-10-19,23952
2020-10-20,24967
2020-10-21,26121
2020-10-22,27282
2020-10-23,28567
2020-10-24,29299
2020-10-25,29822
2020-10-26,30780
2020-10-27,31855
2020-10-28,33025
2020-10-29,34193
2020-10-30,35455
2020-10-31,36196
2020-11-01,36696
2020-11-02,37130
2020-11-03,38027
2020-11-04,39030
2020-11-05,40037
2020-11-06,41066
2020-11-07,41634
2020-11-08,41982
2020-11-09,42637
2020-11-10,43365
2020-11-11,43409
2020-11-12,43409
2020-11-13,43409
