Province,Cases
2020-02-15,10
2020-02-16,10
2020-02-17,12
2020-02-18,12
2020-02-19,12
2020-02-20,15
2020-02-21,16
2020-02-22,16
2020-02-23,19
2020-02-24,25
2020-02-25,31
2020-02-26,35
2020-02-27,45
2020-02-28,59
2020-02-29,65
2020-03-01,84
2020-03-02,100
2020-03-03,117
2020-03-04,135
2020-03-05,157
2020-03-06,196
2020-03-07,242
2020-03-08,298
2020-03-09,395
2020-03-10,546
2020-03-11,689
2020-03-12,882
2020-03-13,1128
2020-03-14,1375
2020-03-15,1614
2020-03-16,1927
2020-03-17,2193
2020-03-18,2459
2020-03-19,2677
2020-03-20,2928
2020-03-21,3140
2020-03-22,3312
2020-03-23,3547
2020-03-24,3702
2020-03-25,3898
2020-03-26,4025
2020-03-27,4194
2020-03-28,4299
2020-03-29,4402
2020-03-30,4544
2020-03-31,4619
2020-04-01,4737
2020-04-02,4835
2020-04-03,4944
2020-04-04,5018
2020-04-05,5083
2020-04-06,5176
2020-04-07,5250
2020-04-08,5319
2020-04-09,5390
2020-04-10,5444
2020-04-11,5492
2020-04-12,5540
2020-04-13,5574
2020-04-14,5610
2020-04-15,5655
2020-04-16,5685
2020-04-17,5755
2020-04-18,5785
2020-04-19,5812
2020-04-20,5834
2020-04-21,5862
2020-04-22,5883
2020-04-23,5908
2020-04-24,5932
2020-04-25,5955
2020-04-26,5963
2020-04-27,5977
2020-04-28,6000
2020-04-29,6016
2020-04-30,6030
2020-05-01,6047
2020-05-02,6065
2020-05-03,6079
2020-05-04,6085
2020-05-05,6091
2020-05-06,6100
2020-05-07,6102
2020-05-08,6106
2020-05-09,6110
2020-05-10,6111
2020-05-11,6119
2020-05-12,6129
2020-05-13,6133
2020-05-14,6140
2020-05-15,6145
2020-05-16,6148
2020-05-17,6152
2020-05-18,6157
2020-05-19,6163
2020-05-20,6166
2020-05-21,6170
2020-05-22,6178
2020-05-23,6181
2020-05-24,6189
2020-05-25,6192
2020-05-26,6195
2020-05-27,6203
2020-05-28,6207
2020-05-29,6211
2020-05-30,6216
2020-05-31,6220
2020-06-01,6231
2020-06-02,6249
2020-06-03,6257
2020-06-04,6263
2020-06-05,6269
2020-06-06,6276
2020-06-07,6282
2020-06-08,6284
2020-06-09,6288
2020-06-10,6291
2020-06-11,6300
2020-06-12,6307
2020-06-13,6310
2020-06-14,6311
2020-06-15,6319
2020-06-16,6328
2020-06-17,6332
2020-06-18,6336
2020-06-19,6346
2020-06-20,6349
2020-06-21,6355
2020-06-22,6358
2020-06-23,6366
2020-06-24,6369
2020-06-25,6374
2020-06-26,6386
2020-06-27,6393
2020-06-28,6397
2020-06-29,6409
2020-06-30,6419
2020-07-01,6434
2020-07-02,6453
2020-07-03,6463
2020-07-04,6468
2020-07-05,6472
2020-07-06,6488
2020-07-07,6506
2020-07-08,6523
2020-07-09,6542
2020-07-10,6567
2020-07-11,6590
2020-07-12,6601
2020-07-13,6630
2020-07-14,6668
2020-07-15,6714
2020-07-16,6761
2020-07-17,6806
2020-07-18,6863
2020-07-19,6908
2020-07-20,6978
2020-07-21,7031
2020-07-22,7105
2020-07-23,7181
2020-07-24,7272
2020-07-25,7371
2020-07-26,7433
2020-07-27,7564
2020-07-28,7698
2020-07-29,7874
2020-07-30,8051
2020-07-31,8222
2020-08-01,8419
2020-08-02,8551
2020-08-03,8746
2020-08-04,9007
2020-08-05,9268
2020-08-06,9501
2020-08-07,9755
2020-08-08,9980
2020-08-09,10183
2020-08-10,10463
2020-08-11,10736
2020-08-12,11051
2020-08-13,11366
2020-08-14,11730
2020-08-15,12005
2020-08-16,12209
2020-08-17,12548
2020-08-18,12894
2020-08-19,13244
2020-08-20,13624
2020-08-21,14020
2020-08-22,14367
2020-08-23,14632
2020-08-24,15046
2020-08-25,15375
2020-08-26,15795
2020-08-27,16140
2020-08-28,16569
2020-08-29,16973
2020-08-30,17192
2020-08-31,17450
2020-09-01,17767
2020-09-02,18102
2020-09-03,18350
2020-09-04,18669
2020-09-05,18975
2020-09-06,19172
2020-09-07,19430
2020-09-08,19709
2020-09-09,19985
2020-09-10,20290
2020-09-11,20575
2020-09-12,20810
2020-09-13,21006
2020-09-14,21235
2020-09-15,21475
2020-09-16,21741
2020-09-17,21975
2020-09-18,22204
2020-09-19,22410
2020-09-20,22568
2020-09-21,22765
2020-09-22,23009
2020-09-23,23227
2020-09-24,23416
2020-09-25,23601
2020-09-26,23793
2020-09-27,23930
2020-09-28,24130
2020-09-29,24319
2020-09-30,24560
2020-10-01,24805
2020-10-02,25028
2020-10-03,25235
2020-10-04,25429
2020-10-05,25716
2020-10-06,26054
2020-10-07,26353
2020-10-08,26694
2020-10-09,27030
2020-10-10,27294
2020-10-11,27553
2020-10-12,27840
2020-10-13,28271
2020-10-14,28793
2020-10-15,29276
2020-10-16,29796
2020-10-17,30302
2020-10-18,30731
2020-10-19,31306
2020-10-20,31956
2020-10-21,32621
2020-10-22,33190
2020-10-23,33802
2020-10-24,34334
2020-10-25,34748
2020-10-26,35308
2020-10-27,35964
2020-10-28,36586
2020-10-29,37233
2020-10-30,37938
2020-10-31,38478
2020-11-01,38870
2020-11-02,39452
2020-11-03,40050
2020-11-04,40645
2020-11-05,41211
2020-11-06,41751
2020-11-07,42199
2020-11-08,42434
2020-11-09,42663
2020-11-10,42848
2020-11-11,42934
2020-11-12,42934
2020-11-13,42934
2020-11-14,42934
2020-11-15,42934
