Province,Cases
2020-02-22,10
2020-02-23,11
2020-02-24,12
2020-02-25,14
2020-02-26,14
2020-02-27,14
2020-02-28,17
2020-02-29,23
2020-03-01,29
2020-03-02,41
2020-03-03,48
2020-03-04,62
2020-03-05,73
2020-03-06,86
2020-03-07,102
2020-03-08,133
2020-03-09,165
2020-03-10,204
2020-03-11,258
2020-03-12,321
2020-03-13,411
2020-03-14,494
2020-03-15,595
2020-03-16,715
2020-03-17,836
2020-03-18,973
2020-03-19,1096
2020-03-20,1280
2020-03-21,1428
2020-03-22,1561
2020-03-23,1780
2020-03-24,1928
2020-03-25,2071
2020-03-26,2181
2020-03-27,2344
2020-03-28,2452
2020-03-29,2531
2020-03-30,2630
2020-03-31,2714
2020-04-01,2831
2020-04-02,2932
2020-04-03,3010
2020-04-04,3080
2020-04-05,3152
2020-04-06,3235
2020-04-07,3310
2020-04-08,3395
2020-04-09,3470
2020-04-10,3532
2020-04-11,3580
2020-04-12,3621
2020-04-13,3684
2020-04-14,3727
2020-04-15,3790
2020-04-16,3842
2020-04-17,3891
2020-04-18,3945
2020-04-19,3977
2020-04-20,4003
2020-04-21,4039
2020-04-22,4091
2020-04-23,4110
2020-04-24,4126
2020-04-25,4144
2020-04-26,4158
2020-04-27,4185
2020-04-28,4214
2020-04-29,4231
2020-04-30,4260
2020-05-01,4273
2020-05-02,4288
2020-05-03,4303
2020-05-04,4324
2020-05-05,4329
2020-05-06,4334
2020-05-07,4358
2020-05-08,4367
2020-05-09,4369
2020-05-10,4374
2020-05-11,4379
2020-05-12,4387
2020-05-13,4399
2020-05-14,4402
2020-05-15,4408
2020-05-16,4411
2020-05-17,4416
2020-05-18,4425
2020-05-19,4435
2020-05-20,4445
2020-05-21,4448
2020-05-22,4454
2020-05-23,4459
2020-05-24,4463
2020-05-25,4469
2020-05-26,4474
2020-05-27,4481
2020-05-28,4483
2020-05-29,4491
2020-05-30,4494
2020-05-31,4497
2020-06-01,4501
2020-06-02,4507
2020-06-03,4512
2020-06-04,4516
2020-06-05,4519
2020-06-06,4524
2020-06-07,4526
2020-06-08,4528
2020-06-09,4532
2020-06-10,4533
2020-06-11,4536
2020-06-12,4537
2020-06-13,4539
2020-06-14,4540
2020-06-15,4540
2020-06-16,4543
2020-06-17,4545
2020-06-18,4552
2020-06-19,4557
2020-06-20,4560
2020-06-21,4570
2020-06-22,4581
2020-06-23,4589
2020-06-24,4602
2020-06-25,4621
2020-06-26,4630
2020-06-27,4657
2020-06-28,4666
2020-06-29,4680
2020-06-30,4689
2020-07-01,4702
2020-07-02,4713
2020-07-03,4737
2020-07-04,4751
2020-07-05,4774
2020-07-06,4817
2020-07-07,4866
2020-07-08,4919
2020-07-09,4987
2020-07-10,5085
2020-07-11,5188
2020-07-12,5283
2020-07-13,5468
2020-07-14,5685
2020-07-15,5953
2020-07-16,6175
2020-07-17,6475
2020-07-18,6738
2020-07-19,7012
2020-07-20,7383
2020-07-21,7740
2020-07-22,8129
2020-07-23,8446
2020-07-24,8829
2020-07-25,9154
2020-07-26,9451
2020-07-27,9948
2020-07-28,10334
2020-07-29,10740
2020-07-30,11148
2020-07-31,11551
2020-08-01,12281
2020-08-02,12669
2020-08-03,13051
2020-08-04,13419
2020-08-05,13783
2020-08-06,14217
2020-08-07,14646
2020-08-08,15074
2020-08-09,15317
2020-08-10,15812
2020-08-11,16068
2020-08-12,16423
2020-08-13,16759
2020-08-14,17115
2020-08-15,17439
2020-08-16,17687
2020-08-17,18009
2020-08-18,18341
2020-08-19,18604
2020-08-20,18870
2020-08-21,19084
2020-08-22,19331
2020-08-23,19506
2020-08-24,19691
2020-08-25,19919
2020-08-26,20131
2020-08-27,20300
2020-08-28,20528
2020-08-29,20711
2020-08-30,20869
2020-08-31,21113
2020-09-01,21356
2020-09-02,21563
2020-09-03,21809
2020-09-04,22044
2020-09-05,22317
2020-09-06,22518
2020-09-07,22756
2020-09-08,23008
2020-09-09,23303
2020-09-10,23563
2020-09-11,23884
2020-09-12,24182
2020-09-13,24474
2020-09-14,24747
2020-09-15,25011
2020-09-16,25263
2020-09-17,25565
2020-09-18,25815
2020-09-19,26075
2020-09-20,26243
2020-09-21,26509
2020-09-22,26716
2020-09-23,26923
2020-09-24,27202
2020-09-25,27449
2020-09-26,27663
2020-09-27,27900
2020-09-28,28122
2020-09-29,28364
2020-09-30,28599
2020-10-01,28882
2020-10-02,29170
2020-10-03,29392
2020-10-04,29643
2020-10-05,29936
2020-10-06,30282
2020-10-07,30642
2020-10-08,30986
2020-10-09,31333
2020-10-10,31674
2020-10-11,31959
2020-10-12,32277
2020-10-13,32653
2020-10-14,33112
2020-10-15,33634
2020-10-16,34177
2020-10-17,34621
2020-10-18,35098
2020-10-19,35740
2020-10-20,36474
2020-10-21,37233
2020-10-22,37978
2020-10-23,38762
2020-10-24,39451
2020-10-25,40053
2020-10-26,40833
2020-10-27,41582
2020-10-28,42255
2020-10-29,42911
2020-10-30,43582
2020-10-31,44240
2020-11-01,44741
2020-11-02,45303
2020-11-03,45778
2020-11-04,46334
2020-11-05,46776
2020-11-06,47239
2020-11-07,47695
2020-11-08,47928
2020-11-09,48203
2020-11-10,48450
2020-11-11,48693
2020-11-12,48693
2020-11-13,48693
2020-11-14,48693
